Name	Genre	DetailType	ParticularType	Level	Series	Icon	ObjID	Width	Height	Intro	Price	BasicProp1Type	BasicProp1PAMin	BasicProp1PAMax	BasicProp2Type	BasicProp2PAMin	BasicProp2PAMax	BasicProp3Type	BasicProp3PAMin	BasicProp3PAMax	BasicProp4Type	BasicProp4PAMin	BasicProp4PAMax	BasicProp5Type	BasicProp5PAMin	BasicProp5PAMax	BasicProp6Type	BasicProp6PAMin	BasicProp6PAMax	BasicProp7Type	BasicProp7PAMin	BasicProp7PAMax	ReqProp1Type	ReqProp1Value	ReqProp2Type	ReqProp2Value	ReqProp3Type	ReqProp3Value	ReqProp4Type	ReqProp4Value	ReqProp5Type	ReqProp5Value	ReqProp6Type	ReqProp6Value
Sa Di phôc	0	2	0	1		\spr\item\equip\armor\obj-ma-cloth01-1.spr	22	2	3	T¨ng y dµnh cho c¸c tiÓu Sa Di võa nhËp m«n	50	30	50	50	31	15	15																36	1	32	30					38	0		
T¨ng y	0	2	0	2		\spr\item\equip\armor\obj-ma-cloth01-1.spr	22	2	3	Y phôc t¨ng nh©n th­êng mÆc	200	30	100	100	31	20	20																36	7	32	50					38	0		
B¸ch N¹p y	0	2	0	3		\spr\item\equip\armor\obj-ma-cloth01-2.spr	22	2	3	Th­êng phôc chñ yÕu cña c¸c T¨ng nh©n H¸n triÒu	400	30	150	150	31	25	25																36	13	32	70					38	0		
An ®µ héi	0	2	0	4		\spr\item\equip\armor\obj-ma-cloth01-3.spr	22	2	3	Cßn gäi lµ Ngò §iÒu y, ¸o cña c¸c t¨ng nh©n mÆc trong nh÷ng lóc th«ng th­êng	500	30	200	200	31	30	30																36	19	32	90					38	0		
UÊt §a La T¨ng	0	2	0	5		\spr\item\equip\armor\obj-ma-cloth02-1.spr	22	2	3	Cßn gäi lµ ThÊt §iÒu y, ¸o cña c¸c t¨ng nh©n mÆc trong nh÷ng lóc trang nghiªm	1000	30	250	250	31	35	35																36	26	32	110					38	0		
T¨ng Hµi 	0	2	0	6		\spr\item\equip\armor\obj-ma-cloth02-2.spr	22	2	3	LÔ phôc cña T¨ng nh©n, mÆc trong nh÷ng lóc trang nghiªm	1500	30	300	300	31	40	40																36	33	32	130					38	0		
NguyÖn B¹ch Cµ Sa 	0	2	0	7		\spr\item\equip\armor\obj-ma-cloth02-3.spr	22	2	3	Cßn gäi lµ ThÊt §iÒu y, y phôc cña c¸c t¨ng nh©n chøc vÞ cao	2000	30	250	250	31	45	45																36	40	32	150					38	0		
Minh TÜnh Cµ Sa	0	2	0	8		\spr\item\equip\armor\obj-ma-cloth03-1.spr	22	2	3	Y phôc th­êng ngµy cña c¸c vÞ cao t¨ng	2500	30	400	400	31	50	50																36	46	32	170					38	0		
Kim L« Cµ Sa 	0	2	0	9		\spr\item\equip\armor\obj-ma-cloth03-2.spr	22	2	3	b¶o vËt cña PhËt m«n	3750	30	450	450	31	55	55																36	53	32	190					38	0		
ThÊt B¶o Cµ Sa	0	2	0	10		\spr\item\equip\armor\obj-ma-cloth03-3.spr	22	2	3	Lµ "PhËt m«n chi b¶o", do PhËt Tæ tÆng cho §­êng Tam T¹ng khi ®i thØnh kinh	5000	30	500	500	31	60	60																36	60	32	210					38	0		
