Name	Genre	DetailType	ParticularType	Level	Series	Icon	ObjID	Width	Height	Intro	Price	BasicProp1Type	BasicProp1PAMin	BasicProp1PAMax	BasicProp2Type	BasicProp2PAMin	BasicProp2PAMax	BasicProp3Type	BasicProp3PAMin	BasicProp3PAMax	BasicProp4Type	BasicProp4PAMin	BasicProp4PAMax	BasicProp5Type	BasicProp5PAMin	BasicProp5PAMax	BasicProp6Type	BasicProp6PAMin	BasicProp6PAMax	BasicProp7Type	BasicProp7PAMin	BasicProp7PAMax	ReqProp1Type	ReqProp1Value	ReqProp2Type	ReqProp2Value	ReqProp3Type	ReqProp3Value	ReqProp4Type	ReqProp4Value	ReqProp5Type	ReqProp5Value	ReqProp6Type	ReqProp6Value																																																								
Ng­u B× Yªu §¸i	0	6	0	1		\spr\item\equip\sash\obj-sash01.spr	32	2	1	Lo¹i d©y l­ng b»ng da tr©u th«ng th­êng. 	25	30	7	7	31	15	15																36	1	32	20	33	0																																																														
Lang B× Yªu §¸i	0	6	0	2		\spr\item\equip\sash\obj-sash02.spr	32	2	1	"Lµm b»ng da sãi, mÒm dÎo linh ho¹t. "	150	30	12	12	31	15	15																36	8	32	29	33	0																																																														
¤ §»ng Yªu §¸i	0	6	0	3		\spr\item\equip\sash\obj-sash03.spr	32	2	1	"KÕt tõ lo¹i d©y m©y 100 n¨m, r¾n ch¾c v« cïng. "	400	30	18	18	31	15	15																36	14	32	39	33	0																																																														
M·ng B× Yªu §¸i	0	6	0	4		\spr\item\equip\sash\obj-sash04.spr	32	2	1	"Lµm tõ da M·ng xµ, ®Ñp vµ ch¾c v« cïng. "	900	30	24	24	31	15	15																36	20	32	49	33	0																																																														
Ng¹c B× Yªu §¸i	0	6	0	5		\spr\item\equip\sash\obj-sash05.spr	32	2	1	"Lµm tõ da c¸ sÊu, ®Ñp vµ ch¾c v« cïng, cã thÓ dïng lµm binh khÝ. "	1500	30	30	30	31	15	15																36	27	32	59	33	0																																																														
T­îng B× Yªu §¸i	0	6	0	6		\spr\item\equip\sash\obj-sash06.spr	32	2	1	"Lµm tõ da voi, dµy vµ ch¾c v« cïng. "	2250	30	36	36	31	15	15																36	33	32	69	33	0																																																														
Sa B× Yªu §¸i	0	6	0	7		\spr\item\equip\sash\obj-sash07.spr	32	2	1	"Lµm tõ da c¸ mËp, ®ao tªn khã mµ xuyªn thñng. "	2700	30	42	42	31	15	15																36	40	32	79	33	0																																																														
Tª Gi¸c Yªu §¸i	0	6	0	8		\spr\item\equip\sash\obj-sash08.spr	32	2	1	"Lµm tõ da Tª Gi¸c, ®ao kiÕm th­êng khã mµ xuyªn thñng. "	3500	30	48	48	31	15	15																36	47	32	89	33	0																																																														
Long L©n Yªu §¸i	0	6	0	9		\spr\item\equip\sash\obj-sash09.spr	32	2	1	"Lµm tõ da Kú L©n, kh¶ n¨ng phßng thñ cùc tèt. "	4750	30	54	54	31	15	15																36	54	32	99	33	0																																																														
Thiªn Tµm Yªu §¸i	0	6	0	10		\spr\item\equip\sash\obj-sash10.spr	32	2	1	"KÕt b»ng t¬ Thiªn TÇm, ®ao th­¬ng bÊt nhËp, kh«ng sî löa. "	6000	30	60	60	31	15	15																36	60	32	109	33	0																																																														
