ItemName	ItemGenre	DetailType	ParticularType	ImageName	ObjIdx	Width	Height	Intro	Series	Price	Level	PropType1	Min	Max	PropType2	Min	Max	PropType3	Min	Max	PropType4	Min	Max	PropType5	Min	Max	PropType6	Min	Max	PropType7	Min	Max	PropReq1	Param	PropReq2	Param	PropReq3	Param	PropReq4	Param	PropReq5	Param	PropReq6	Param	Magic1	Magic2	Magic3	Magic4	Magic5	Magic6	Set	SetNum	SetId	ExtraMagic1	ExtraMagic2
Méng Long ChÝnh Hång T¨ng M·o	0	7	0	\spr\item\equip\cap\obj-ma-cap03-3.spr	28	2	2	Trang bÞ Hoµng Kim	1	49999	10	30	360	360	31	85	85																36	90	32	160	39	0							2	171	46	311	6	155	1	5	1		
Méng Long Kim Ti ChÝnh Hång Cµ Sa	0	2	0	\spr\item\equip\armor\obj-ma-cloth03-3.spr	22	2	3	Trang bÞ Hoµng Kim	2	49999	10	30	720	720	31	90	90																36	99	32	260	39	0							2	40	170	307	6	324	1	5	2		
Méng Long HuyÒn Ti Ph¸t ®¸i	0	6	0	\spr\item\equip\sash\obj-sash06.spr	33	2	1	Trang bÞ Hoµng Kim	0	49999	10	30	160	160	31	80	80																36	95	32	135	39	0							418	309	172	311	416	417	1	5	3		
Méng Long PhËt Ph¸p HuyÒn Béi	0	9	1	\spr\item\equip\waist\obj-waist18.spr	36	1	2	Trang bÞ Hoµng Kim	4	49999	10																						36	80	39	0									129	130					1	5	4		
Méng Long §¹t Ma T¨ng hµi	0	5	0	\spr\item\equip\boots\obj-shoes04.spr	26	2	2	Trang bÞ Hoµng Kim	3	49999	10	30	160	160	31	80	80																36	85	32	135	39	0							2	104	6	311			1	5	5		
Phôc Ma Tö Kim C«n	0	0	2	\spr\item\equip\closeweapon\obj-staff13.spr	11	1	4	Trang bÞ Hoµng Kim	0	49999	10	28	69	69	29	128	128	167	-10	-10	31	99	99										36	99	32	180	39	0							48	43	52	71	113	155	2	5	1		
Phôc Ma HuyÒn Hoµng Cµ Sa	0	2	0	\spr\item\equip\armor\obj-ma-cloth03-2.spr	22	2	3	Trang bÞ Hoµng Kim	4	49999	10	30	720	720	31	90	90																36	90	32	260	39	0							2	306	175	307			2	5	2		
Phôc Ma ¤ Kim NhuyÔn §iÒu	0	6	0	\spr\item\equip\sash\obj-sash07.spr	33	2	1	Trang bÞ Hoµng Kim	3	49999	10	30	160	160	31	80	80																36	85	32	135	39	0							418	309	177	311	416	417	2	5	3		
Phôc Ma PhËt T©m NhuyÔn KhÊu	0	9	1	\spr\item\equip\waist\obj-waist19.spr	36	1	2	Trang bÞ Hoµng Kim	1	49999	10																						36	80	39	0									129	130					2	5	4		
Phôc Ma Phæ §é T¨ng hµi	0	5	0	\spr\item\equip\boots\obj-shoes05.spr	26	2	2	Trang bÞ Hoµng Kim	2	49999	10	30	160	160	31	80	80																36	95	32	135	39	0							2	325	320	88	6	437	2	5	5		
Tø Kh«ng Gi¸ng Ma Giíi ®ao	0	0	1	\spr\item\equip\closeweapon\obj-blade24.spr	10	1	4	Trang bÞ Hoµng Kim	0	49999	10	28	40	40	29	114	114	167	-20	-20	31	99	99										36	99	32	135	39	0							2	43	48	71	113	155	3	5	1		
Tø Kh«ng Tö Kim Cµ Sa	0	2	0	\spr\item\equip\armor\obj-ma-cloth03-1.spr	22	2	3	Trang bÞ Hoµng Kim	4	49999	10	30	720	720	31	90	90																36	90	32	260	39	0							2	306	178	317			3	5	2		
Tø Kh«ng Hé ph¸p Yªu ®¸i	0	6	0	\spr\item\equip\sash\obj-sash08.spr	33	2	1	Trang bÞ Hoµng Kim	3	49999	10	30	160	160	31	80	80																36	85	32	135	39	0							2	309	177	311	416	425	3	5	3		
Tø Kh«ng NhuyÔn B× Hé UyÓn	0	8	1	\spr\item\equip\bangle\obj-bangle18.spr	34	1	2	Trang bÞ Hoµng Kim	1	49999	10	30	135	135	31	80	80																36	95	32	110	39	0							2	417	326	311	6	179	3	5	4		
Tø Kh«ng Giíi LuËt Ph¸p giíi	0	3	0	\spr\item\equip\ring\obj-ring06.spr	37	1	1	Trang bÞ Hoµng Kim	2	49999	10																						36	80	39	0									129	130					3	5	5		
H¸m Thiªn Kim Hoµn §¹i Nh·n ThÇn Chïy	0	0	4	\spr\item\equip\closeweapon\obj-adha04.spr	13	2	2	Trang bÞ Hoµng Kim	2	49999	10	28	55	55	29	165	165	167	-30	-30	31	99	99										36	99	32	235	39	1							135	50	46	69	110	73	4	5	1		
H¸m Thiªn Vò ThÇn T­¬ng Kim Gi¸p	0	2	4	\spr\item\equip\armor\obj-ma-cloth15-3.spr	25	2	3	Trang bÞ Hoµng Kim	0	49999	10	30	720	720	31	90	90																36	90	32	260	39	1							2	306	180	311			4	5	2		
H¸m Thiªn Uy Vò Thóc yªu ®¸i	0	6	1	\spr\item\equip\sash\obj-sash16.spr	33	2	1	Trang bÞ Hoµng Kim	4	49999	10	30	160	160	31	80	80																36	95	32	135	39	1							2	309	191	311	416	156	4	5	3		
H¸m Thiªn Hæ ®Çu KhÈn Thóc UyÓn	0	8	1	\spr\item\equip\bangle\obj-bangle18.spr	34	1	2	Trang bÞ Hoµng Kim	3	49999	10	30	135	135	31	80	80																36	80	32	110	39	1							129	130					4	5	4		
H¸m Thiªn Thõa Long ChiÕn Ngoa	0	5	1	\spr\item\equip\boots\obj-shoes09.spr	26	2	2	Trang bÞ Hoµng Kim	1	49999	10	30	160	160	31	80	80																36	85	32	135	39	1							2	320	192	419	319	190	4	5	5		
KÕ NghiÖp B«n L«i Toµn Long th­¬ng	0	0	3	\spr\item\equip\closeweapon\obj-spear04.spr	12	1	4	Trang bÞ Hoµng Kim	2	49999	10	28	18	18	29	158	158	167	30	30	31	99	99										36	99	32	165	33	165	39	1					57	51	46	69	110	73	5	5	1		
KÕ NghiÖp HuyÒn Vò Hoµng Kim Kh¶i	0	2	4	\spr\item\equip\armor\obj-ma-cloth15-3.spr	25	2	3	Trang bÞ Hoµng Kim	0	49999	10	30	720	720	31	90	90																36	95	32	260	39	1							2	40	185	79			5	5	2		
KÕ NghiÖp B¹ch Hæ V« Song khÊu	0	6	1	\spr\item\equip\sash\obj-sash17.spr	33	2	1	Trang bÞ Hoµng Kim	4	49999	10	30	160	160	31	80	80																36	90	32	135	39	1							2	309	188	311	416	156	5	5	3		
KÕ NghiÖp HáaV©n Kú L©n Thñ 	0	8	1	\spr\item\equip\bangle\obj-bangle19.spr	34	1	2	Trang bÞ Hoµng Kim	3	49999	10	30	135	135	31	80	80																36	80	32	110	39	1							129	130					5	5	4		
KÕ NghiÖp Chu T­íc L¨ng V©n Ngoa	0	5	1	\spr\item\equip\boots\obj-shoes10.spr	26	2	2	Trang bÞ Hoµng Kim	1	49999	10	30	160	160	31	80	80																36	85	32	135	39	1							2	104	189	311	319	186	5	5	5		
Ngù Long L­îng Ng©n B¶o ®ao	0	0	1	\spr\item\equip\closeweapon\obj-blade24.spr	10	1	4	Trang bÞ Hoµng Kim	2	49999	10	28	40	40	29	114	114	167	-20	-20	31	99	99										36	99	32	135	39	1							57	52	46	69	110	73	6	5	1		
Ngù Long ChiÕn ThÇn Phi Qu¶i gi¸p	0	4	1	\spr\item\equip\nick\obj-neck17.spr	36	2	1	Trang bÞ Hoµng Kim	0	49999	10																						36	90	39	1									2	438	79	107	280		6	5	2		
Ngù Long Thiªn M«n Thóc Yªu hoµn	0	6	1	\spr\item\equip\sash\obj-sash18.spr	33	2	1	Trang bÞ Hoµng Kim	4	49999	10	30	160	160	31	80	80																36	85	32	135	39	1							2	309	182	311	416	156	6	5	3		
Ngù Long TÊn Phong Hé yÓn	0	8	1	\spr\item\equip\bangle\obj-bangle20.spr	34	1	2	Trang bÞ Hoµng Kim	3	49999	10	30	135	135	31	80	80																36	95	32	110	39	1							2	327	183	311	319	181	6	5	4		
Ngù Long TuyÖt MÖnh ChØ hoµn	0	3	0	\spr\item\equip\ring\obj-ring07.spr	37	1	1	Trang bÞ Hoµng Kim	1	49999	10																						36	80	39	1									129	130					6	5	5		
V« Gian û Thiªn KiÕm	0	0	0	\spr\item\equip\closeweapon\obj-sword24.spr	9	1	3	Trang bÞ Hoµng Kim	0	49999	10	28	46	46	29	86	86	167	0	0	31	99	99										36	99	32	110	39	4							2	43	48	71	113	157	7	5	1		
V« Gian Thanh Phong Truy Y	0	2	7	\spr\item\equip\armor\obj-fm-cloth03-2.spr	24	2	3	Trang bÞ Hoµng Kim	4	49999	10	30	720	720	31	90	90																36	90	32	260	39	4							2	306	193	317			7	5	2		
V« Gian PhÊt V©n Ti ®¸i	0	6	0	\spr\item\equip\sash\obj-sash10.spr	33	2	1	Trang bÞ Hoµng Kim	3	49999	10	30	160	160	31	80	80																36	85	32	135	39	4							418	309	196	307	6	425	7	5	3		
V« Gian CÇm VËn Hé UyÓn	0	8	0	\spr\item\equip\bangle\obj-bangle10.spr	35	1	2	Trang bÞ Hoµng Kim	1	49999	10	30	135	135	31	80	80																36	95	32	110	39	4							2	329	439	307	6	328	7	5	4		
V« Gian B¹ch Ngäc Bµn ChØ 	0	3	0	\spr\item\equip\ring\obj-ring01.spr	37	1	1	Trang bÞ Hoµng Kim	2	49999	10																						36	80	39	4									129	130					7	5	5		
V« Ma Ma Ni qu¸n	0	7	7	\spr\item\equip\cap\obj-fm-cap03-2.spr	28	2	2	Trang bÞ Hoµng Kim	2	49999	10	30	315	315	31	85	85																36	85	32	110	39	4							2	307	420	309	6	427	8	5	1		
V« Ma Tö Kh©m Cµ Sa	0	2	7	\spr\item\equip\armor\obj-fm-cloth03-2.spr	22	2	3	Trang bÞ Hoµng Kim	0	49999	10	30	630	630	31	90	90																36	90	32	135	39	4							2	306	6	317			8	5	2		
V« Ma B¨ng Tinh ChØ Hoµn	0	3	0	\spr\item\equip\ring\obj-ring06.spr	37	1	1	Trang bÞ Hoµng Kim	4	49999	10	31	80	80																			36	80	39	4									129	130					8	5	3		
V« Ma TÈy T­îng Ngäc KhÊu 	0	9	0	\spr\item\equip\waist\obj-waist10.spr	36	1	2	Trang bÞ Hoµng Kim	1	49999	10	31	60	60																			36	95	39	4									1	304	57	146	198	200	8	5	4		
