Name	ItemGenre	DetailType	ParticularType	Icon	ObjID	Width	Height	Intro	ScriptFile	Stack	TaskID	MaxTaskId
TÈy Tñy Kinh	7	0	1	\spr\item\questkey\obj_item_lection.spr	341	1	1	"PhËt gia b¶o ®iÓn, nÕu cã thÓ ®äc hiÓu sÏ t¨ng kinh nghiÖm rÊt nhanh."	\script\item\luascript\xisui-jing.lua	0		
ThiÕt La H¸n	7	1	1	\spr\item\questkey\obj_item_lection.spr	341	1	1	"Mét ng­êi s¾t La H¸n di ®éng, ®¸nh ng· sÏ thu ®­îc kinh nghiÖm thùc chiÕn."	\script\item\luascript\tie-luohan.lua	0		
Vâ L©m MËt TŞch	7	2	1	\spr\item\questkey\obj_item_lection.spr	341	1	1	"Bİ quyÕt vâ c«ng, cã İch cho c¸c hiÖp kh¸ch Vâ L©m."	\script\item\luascript\wulin-miji.lua	0		
Tiªn Th¶o Lé 	7	3	1	\spr\item\medecine\xiancaolu.spr	370	1	1	"Néi 1 giê, kinh nghiÖm t¨ng gÊp ®«i (t¸i sö dông v« hiÖu) "	\script\item\luascript\xiancaolu.lua	0		
Tiªn Th¶o Lé [§Æc biÖt]	7	4	1	\spr\item\medecine\xiancaolu_sp.spr	370	1	1	"Tiªn Th¶o Lé cã hiÖu qu¶ ®Æc biÖt, cã t¸c dông nh©n ®«i kinh nghiÖm trong 8 giê (sö dông nhiÒu c¸i mét lóc sÏ kh«ng cã t¸c dông)."	\script\item\luascript\xiancaolu.lua	0		
Thiªn S¬n B¶o Lé 	7	5	1	\spr\item\medecine\tianshanyulu.spr	370	1	1	"Néi 30 phót, May m¾n t¨ng 10 ®iÓm. (t¸i sö dông v« hiÖu) "	\script\item\luascript\thiensonbaolo.lua	0		
QuÕ Hoa Töu	7	6	1	\spr\item\medecine\zq_icon_004.spr	376	1	1	"Néi 30 phót, m×nh cïng ®ång ®éi t¨ng 20 ®iÓm May m¾n."	\script\item\luascript\quehoatuu.lua	0		
Qu¶ Huy Hoµng (s¬) 	7	7	1	\spr\item\questkey\huihuangzhiguo.spr	377	1	1	¡n vµo sÏ t¨ng gÊp ®«i c«ng lùc	\script\item\luascript\huihuangzhiguo.lua	0		
Qu¶ Huy Hoµng (trung) 	7	8	1	\spr\item\questkey\huihuangzhiguo.spr	377	1	1	¡n vµo sÏ t¨ng gÊp ®«i c«ng lùc	\script\item\luascript\huihuangzhiguo.lua	0		
Qu¶ Huy Hoµng (cao) 	7	9	1	\spr\item\questkey\huihuangzhiguo.spr	377	1	1	¡n vµo sÏ t¨ng gÊp ®«i c«ng lùc	\script\item\luascript\huihuangzhiguo.lua	0		
Qu¶ Hoµng Kim	7	10	1	\spr\item\questkey\huangjinzhiguo.spr	377	1	1	¡n vµo sÏ t¨ng gÊp ®«i c«ng lùc	\script\item\luascript\huihuangzhiguo.lua	0		
Phóc Duyªn Lé (tiÓu)	7	11	1	\spr\item\medecine\fuyuanlu_small.spr	370	1	1	Sö dông nhËn ®­îc 10 ®iÓm phóc duyªn	\script\item\luascript\phucduyenlo.lua	0		
Phóc Duyªn Lé (trung)	7	12	1	\spr\item\medecine\fuyuanlu_middle.spr	370	1	1	Sö dông nhËn ®­îc 20 ®iÓm phóc duyªn	\script\item\luascript\phucduyenlo.lua	0		
Phóc Duyªn Lé (®¹i)	7	13	1	\spr\item\medecine\fuyuanlu_big.spr	370	1	1	Sö dông nhËn ®­îc 50 ®iÓm phóc duyªn	\script\item\luascript\phucduyenlo.lua	0		
N÷ Nhi Hång	7	14	1	\spr\item\questkey\taskobj072.spr	41	1	1	"Néi 8 giê, kinh nghiÖm luyÖn kü n¨ng t¨ng gÊp ®«i (t¸i sö dông v« hiÖu) "	\script\item\luascript\nhandoikynang.lua	0		
§¹i Thµnh Bİ Kİp 90	7	15	1	\spr\item\questkey\quyuanmifang.spr	368	1	1	Sö dông cã thÓ häc ®­îc mét kü n¨ng 90 cã ®¼ng cÊp 20.	\script\item\luascript\dachengmiji_90.lua	0		
§¹i Thµnh Bİ Kİp 120	7	16	1	\spr\item\questkey\quyuanmifang.spr	368	1	1	Sö dông cã thÓ häc ®­îc mét kü n¨ng 120 cã ®¼ng cÊp 20.	\script\item\luascript\dachengmiji_120.lua	0		
LÖnh Bµi Admin	7	17	1	\spr\item\questkey\006.spr	385	1	1	"LÖnh bµi admin, lo¹i lÖnh bµi chØ cã admin míi cã thÓ sö dông ®­îc bao gåm tÊt c¶ chøc n¨ng qu¶n lı §¹i thæ Thñy Hµnh"	\script\item\luascript\lenhbaiadmin.lua	0		
Thæ §Şa Phï	7	18	1	\spr\item\special\Obj_TownPortal.spr	38	1	1	"Mét lo¹i bïa ph¸p, gióp b¹n mau chãng ®Õn n¬i muèn ®Õn"	\script\item\luascript\townportal.lua	0		
Thæ §Şa phï (sö dông v« h¹n)	7	19	1	\spr\item\special\Obj_TownPortal.spr	38	1	1	"Mét lo¹i bïa ph¸p, gióp b¹n mau chãng ®Õn n¬i muèn ®Õn"	\script\item\luascript\townportal_ever.lua	0		
ThÇn Hµnh Phï	7	20	1	\spr\item\script\thp.spr	38	1	1	"ThÇn Hµnh ThuËt, phi th©n ®¹i hiÖp ®i bÊt cø thµnh thŞ th«n trÊn chØ ®Şnh nµo"	\script\item\luascript\townportal_l.lua	0		
S­ ®å ThiÕp	7	21	1	\spr\item\questkey\taskobj091.spr	38	1	1	"Ng­êi ch¬i d­íi cÊp 80 dïng ®Ó nhËn s­ phô, trªn cÊp 80 dïng ®Ó nhËn ®Ö tö."	\script\item\luascript\sudothiep.lua	0		
Tèng Kim Chiªu Th­	7	22	1	\spr\item\songjin\rescript.spr	383	1	1	Cã thÓ tù lùa chän khu vùc ®Ó ®Õn b¸o danh	\script\item\battles\rescript.lua	0		
