Name	Genre	DetailType	ParticularType	Level	Series	Icon	ObjID	Width	Height	Intro	Price	BasicProp1Type	BasicProp1PAMin	BasicProp1PAMax	BasicProp2Type	BasicProp2PAMin	BasicProp2PAMax	BasicProp3Type	BasicProp3PAMin	BasicProp3PAMax	BasicProp4Type	BasicProp4PAMin	BasicProp4PAMax	BasicProp5Type	BasicProp5PAMin	BasicProp5PAMax	BasicProp6Type	BasicProp6PAMin	BasicProp6PAMax	BasicProp7Type	BasicProp7PAMin	BasicProp7PAMax	ReqProp1Type	ReqProp1Value	ReqProp2Type	ReqProp2Value	ReqProp3Type	ReqProp3Value	ReqProp4Type	ReqProp4Value	ReqProp5Type	ReqProp5Value	ReqProp6Type	ReqProp6Value
LiÖt Hoµng M· 	0	10	0	1	0	\spr\item\equip\horse\horse003.spr	40	2	3	"LiÖt m·, ®¸nh thÕ nµo còng ch¹y kh«ng nhanh."	5000	111	10%	10%	93	50	50	85	10	10	150	-10	-10										36	20										
LiÖt Hoµng M· 	0	10	0	2	0	\spr\item\equip\horse\horse003.spr	40	2	3	"LiÖt m·, ®¸nh thÕ nµo còng ch¹y kh«ng nhanh."	5000	111	10%	10%	93	50	50	85	10	10	150	-10	-10										36	25										
Hoµng M· 	0	10	0	3	0	\spr\item\equip\horse\horse003.spr	40	2	3	"Lo¹i ngùa l«ng mµu h¬i xanh tÝa, hµnh tr×nh rÊt kÐm."	10000	111	20%	20%	93	100	100	85	20	20	150	-20	-20										36	30										
Hoµng M· 	0	10	0	4	0	\spr\item\equip\horse\horse003.spr	40	2	3	"Lo¹i ngùa l«ng mµu h¬i xanh tÝa, hµnh tr×nh rÊt kÐm."	10000	111	20%	20%	93	100	100	85	20	20	150	-20	-20										36	35										
Hoµng Phiªu	0	10	0	5	0	\spr\item\equip\horse\horse003.spr	40	2	3	"Lo¹i ngùa l«ng vµng t­¬ng ®èi quý, ngµy ®i tr¨m dÆm"	20000	111	30%	30%	93	200	200	85	50	50	150	-50	-50										36	40										
Hoµng Phiªu	0	10	0	6	0	\spr\item\equip\horse\horse003.spr	40	2	3	"Lo¹i ngùa l«ng vµng t­¬ng ®èi quý, ngµy ®i tr¨m dÆm"	20000	111	30%	30%	93	200	200	85	50	50	150	-50	-50										36	45										
§¹i UyÓn Hoµng M· 	0	10	0	7	0	\spr\item\equip\horse\horse003.spr	40	2	3	"Lo¹i TuÊn m· hiÕm thÊy, ngh×n vµng khã mua"	50000	111	40%	40%	93	500	500	85	100	100	150	-100	-100										36	50										
§¹i UyÓn Hoµng M· 	0	10	0	8	0	\spr\item\equip\horse\horse003.spr	40	2	3	"Lo¹i TuÊn m· hiÕm thÊy, ngh×n vµng khã mua"	50000	111	40%	40%	93	500	500	85	100	100	150	-100	-100										36	55										
Phi Hoµng	0	10	0	9	0	\spr\item\equip\horse\horse003.spr	40	2	3	"Mét trong t¸m con danh m· cña Chu Môc V­¬ng, ngµy ®i ngh×n dÆm"	100000	111	50%	50%	93	1000	1000	85	200	200	150	-200	-200										36	60										
Phi Hoµng	0	10	0	10	0	\spr\item\equip\horse\horse003.spr	40	2	3	"Mét trong t¸m con danh m· cña Chu Môc V­¬ng, ngµy ®i ngh×n dÆm"	100000	111	50%	50%	93	1000	1000	85	200	200	150	-200	-200										36	72										
LiÖt Thanh M· 	0	10	1	1	1	\spr\item\equip\horse\horse001.spr	40	2	3	"Lo¹i ngùa h¹ ®¼ng, l«ng mµu xanh nh¹t"	5000	111	10%	10%	93	50	50	85	5	5	150	-15	-15										36	20										
LiÖt Thanh M· 	0	10	1	2	1	\spr\item\equip\horse\horse001.spr	40	2	3	"Lo¹i ngùa h¹ ®¼ng, l«ng mµu xanh nh¹t"	5000	111	10%	10%	93	50	50	85	5	5	150	-15	-15										36	25										
Thanh Th«ng	0	10	1	3	1	\spr\item\equip\horse\horse001.spr	40	2	3	"Mét lo¹i ngùa l«ng tr¾ng x¸m th«ng th­êng,hµnh tr×nh rÊt kÐm."	10000	111	20%	20%	93	100	100	85	10	10	150	-30	-30										36	30										
Thanh Th«ng	0	10	1	4	1	\spr\item\equip\horse\horse001.spr	40	2	3	"Mét lo¹i ngùa l«ng tr¾ng x¸m th«ng th­êng,hµnh tr×nh rÊt kÐm."	10000	111	20%	20%	93	100	100	85	10	10	150	-30	-30										36	35										
Tö L­u	0	10	1	5	1	\spr\item\equip\horse\horse001.spr	40	2	3	"Loµi ngùa qu©n ®éi th­êng dïng, ®i xa rÊt tèt."	20000	111	30%	30%	93	200	200	85	20	20	150	-80	-80										36	40										
Tö L­u	0	10	1	6	1	\spr\item\equip\horse\horse001.spr	40	2	3	"Loµi ngùa qu©n ®éi th­êng dïng, ®i xa rÊt tèt."	20000	111	30%	30%	93	200	200	85	20	20	150	-80	-80										36	45										
§¹i UyÓn Thanh M· 	0	10	1	7	1	\spr\item\equip\horse\horse001.spr	40	2	3	"Mét lo¹i ngùa quý, l«ng tr¾ng x¸m, m¾t nh­ ngäc "	50000	111	40%	40%	93	500	500	85	50	50	150	-160	-160										36	50										
§¹i UyÓn Thanh M· 	0	10	1	8	1	\spr\item\equip\horse\horse001.spr	40	2	3	"Mét lo¹i ngùa quý, l«ng tr¾ng x¸m, m¾t nh­ ngäc "	50000	111	40%	40%	93	500	500	85	50	50	150	-160	-160										36	55										
Hoa L­u	0	10	1	9	1	\spr\item\equip\horse\horse001.spr	40	2	3	"Mµu ®á rùc nh­ löa, mét trong t¸m con danh m· cña Chu Môc V­¬ng."	100000	111	50%	50%	93	1000	1000	85	100	100	150	-320	-320										36	60										
Hoa L­u	0	10	1	10	1	\spr\item\equip\horse\horse001.spr	40	2	3	"Mµu ®á rùc nh­ löa, mét trong t¸m con danh m· cña Chu Môc V­¬ng."	100000	111	50%	50%	93	1000	1000	85	100	100	150	-320	-320										36	72										
LiÖt B¹ch M· 	0	10	2	1	2	\spr\item\equip\horse\horse007.spr	40	2	3	"Mét lo¹i ngùa th­êng l«ng tr¾ng, kh«ng ®¸ng gi¸."	5000	111	20%	20%	93	50	50	85	5	5	150	-10	-10										36	20										
LiÖt B¹ch M· 	0	10	2	2	2	\spr\item\equip\horse\horse007.spr	40	2	3	"Mét lo¹i ngùa th­êng l«ng tr¾ng, kh«ng ®¸ng gi¸."	5000	111	20%	20%	93	50	50	85	5	5	150	-10	-10										36	25										
B¹ch M· 	0	10	2	3	2	\spr\item\equip\horse\horse007.spr	40	2	3	"Mét lo¹i ngùa th­êng l«ng tr¾ng, ë ®©u còng thÊy."	10000	111	30%	30%	93	100	100	85	10	10	150	-20	-20										36	30										
B¹ch M· 	0	10	2	4	2	\spr\item\equip\horse\horse007.spr	40	2	3	"Mét lo¹i ngùa th­êng l«ng tr¾ng, ë ®©u còng thÊy."	10000	111	30%	30%	93	100	100	85	10	10	150	-20	-20										36	35										
Ngäc Hoa Th«ng	0	10	2	5	2	\spr\item\equip\horse\horse007.spr	40	2	3	"TruyÒn thuyÕt nãi ®©y lµ mét loµi Thiªn M·, thùc tÕ chØ lµ §¹i UyÓn M·."	20000	111	40%	40%	93	200	200	85	20	20	150	-50	-50										36	40										
Ngäc Hoa Th«ng	0	10	2	6	2	\spr\item\equip\horse\horse007.spr	40	2	3	"TruyÒn thuyÕt nãi ®©y lµ mét loµi Thiªn M·, thùc tÕ chØ lµ §¹i UyÓn M·."	20000	111	40%	40%	93	200	200	85	20	20	150	-50	-50										36	45										
§¹i UyÓn B¹ch M· 	0	10	2	7	2	\spr\item\equip\horse\horse007.spr	40	2	3	"Mét trong nh÷ng lo¹i §¹i UyÓn Danh m·,mµu tr¾ng nh­ tuyÕt, hµnh tr×nh cùc nhanh."	50000	111	50%	50%	93	500	500	85	50	50	150	-100	-100										36	50										
§¹i UyÓn B¹ch M· 	0	10	2	8	2	\spr\item\equip\horse\horse007.spr	40	2	3	"Mét trong nh÷ng lo¹i §¹i UyÓn Danh m·,mµu tr¾ng nh­ tuyÕt, hµnh tr×nh cùc nhanh."	50000	111	50%	50%	93	500	500	85	50	50	150	-100	-100										36	55										
Tóc S­¬ng	0	10	2	9	2	\spr\item\equip\horse\horse007.spr	40	2	3	"Lo¹i Thiªn Lý M· thuÇn tóy, l«ng tr¾ng nh­ tuyÕt, thÕ gian hiÕm thÊy."	100000	111	60%	60%	93	1000	1000	85	100	100	150	-200	-200										36	60										
Tóc S­¬ng	0	10	2	10	2	\spr\item\equip\horse\horse007.spr	40	2	3	"Lo¹i Thiªn Lý M· thuÇn tóy, l«ng tr¾ng nh­ tuyÕt, thÕ gian hiÕm thÊy."	100000	111	60%	60%	93	1000	1000	85	100	100	150	-200	-200										36	72										
LiÖt H¾c M· 	0	10	3	1	3	\spr\item\equip\horse\horse009.spr	40	2	3	"Mét lo¹i ngùa th­êng l«ng ®en,gi¸ trÞ kh«ng cao."	5000	111	10%	10%	93	50	50	85	5	5	150	-10	-10										36	20										
LiÖt H¾c M· 	0	10	3	2	3	\spr\item\equip\horse\horse009.spr	40	2	3	"Mét lo¹i ngùa th­êng l«ng ®en,gi¸ trÞ kh«ng cao."	5000	111	10%	10%	93	50	50	85	5	5	150	-10	-10										36	25										
H¾c M· 	0	10	3	3	3	\spr\item\equip\horse\horse009.spr	40	2	3	"Lo¹i ngùa th­êng thÊy, ai còng cã thÓ mua ®­îc."	10000	111	20%	20%	93	100	100	85	10	10	150	-20	-20										36	30										
H¾c M· 	0	10	3	4	3	\spr\item\equip\horse\horse009.spr	40	2	3	"Lo¹i ngùa th­êng thÊy, ai còng cã thÓ mua ®­îc."	10000	111	20%	20%	93	100	100	85	10	10	150	-20	-20										36	35										
H¾c Kú 	0	10	3	5	3	\spr\item\equip\horse\horse009.spr	40	2	3	"Lo¹i ngùa chuyªn dïng trong qu©n ®éi, c¸c chiÕn binh rÊt thÝch cìi."	20000	111	30%	30%	93	200	200	85	20	20	150	-50	-50										36	40										
H¾c Kú 	0	10	3	6	3	\spr\item\equip\horse\horse009.spr	40	2	3	"Lo¹i ngùa chuyªn dïng trong qu©n ®éi, c¸c chiÕn binh rÊt thÝch cìi."	20000	111	30%	30%	93	200	200	85	20	20	150	-50	-50										36	45										
§¹i UyÓn H¾c M· 	0	10	3	7	3	\spr\item\equip\horse\horse009.spr	40	2	3	"Mét trong nh÷ng lo¹i §¹i UyÓn Danh m·, thÓ lùc vµ hµnh tr×nh khã lo¹i nµo s¸nh kÞp."	50000	111	40%	40%	93	500	500	85	50	50	150	-100	-100										36	50										
§¹i UyÓn H¾c M· 	0	10	3	8	3	\spr\item\equip\horse\horse009.spr	40	2	3	"Mét trong nh÷ng lo¹i §¹i UyÓn Danh m·, thÓ lùc vµ hµnh tr×nh khã lo¹i nµo s¸nh kÞp."	50000	111	40%	40%	93	500	500	85	50	50	150	-100	-100										36	55										
¤ Chïy	0	10	3	9	3	\spr\item\equip\horse\horse009.spr	40	2	3	"Së B¸ V­¬ng tõng cìi, lµ lo¹i ""Thiªn Lý Danh M·""."	100000	111	50%	50%	93	1000	1000	85	100	100	150	-200	-200										36	60										
¤ Chïy	0	10	3	10	3	\spr\item\equip\horse\horse009.spr	40	2	3	"Së B¸ V­¬ng tõng cìi, lµ lo¹i ""Thiªn Lý Danh M·""."	100000	111	50%	50%	93	1000	1000	85	100	100	150	-200	-200										36	72										
LiÖt Hång M· 	0	10	4	1	4	\spr\item\equip\horse\horse002.spr	40	2	3	"Ngùa l«ng x¸m tÇm th­êng, rÊt khã b¸n."	5000	111	10%	10%	93	50	50	85	10	10	150	-10	-10										36	20										
LiÖt Hång M· 	0	10	4	2	4	\spr\item\equip\horse\horse002.spr	40	2	3	"Ngùa l«ng x¸m tÇm th­êng, rÊt khã b¸n."	5000	111	10%	10%	93	50	50	85	10	10	150	-10	-10										36	25										
Hång M· 	0	10	4	3	4	\spr\item\equip\horse\horse002.spr	40	2	3	"Mét lo¹i ngùa th­êng l«ng x¸m, chØ dïng ®Ó ®i gÇn."	10000	111	20%	20%	93	100	100	85	20	20	150	-20	-20										36	30										
Hång M· 	0	10	4	4	4	\spr\item\equip\horse\horse002.spr	40	2	3	"Mét lo¹i ngùa th­êng l«ng x¸m, chØ dïng ®Ó ®i gÇn."	10000	111	20%	20%	93	100	100	85	20	20	150	-20	-20										36	35										
Hång Ly	0	10	4	5	4	\spr\item\equip\horse\horse002.spr	40	2	3	Lo¹i ngùa trung ®¼ng nh­ng c­íc tr×nh còng cã thÓ s¸nh vµo hµng danh c©u	20000	111	30%	30%	93	200	200	85	40	40	150	-50	-50										36	40										
Hång Ly	0	10	4	6	4	\spr\item\equip\horse\horse002.spr	40	2	3	Lo¹i ngùa trung ®¼ng nh­ng c­íc tr×nh còng cã thÓ s¸nh vµo hµng danh c©u	20000	111	30%	30%	93	200	200	85	40	40	150	-50	-50										36	45										
§¹i UyÓn H·n HuyÕt M· 	0	10	4	7	4	\spr\item\equip\horse\horse002.spr	40	2	3	"Lo¹i §¹i UyÓn danh m· cùc quý hiÕm,ngh×n vµng khã mua."	50000	111	40%	40%	93	500	500	85	100	100	150	-100	-100										36	50										
§¹i UyÓn H·n HuyÕt M· 	0	10	4	8	4	\spr\item\equip\horse\horse002.spr	40	2	3	"Lo¹i §¹i UyÓn danh m· cùc quý hiÕm,ngh×n vµng khã mua."	50000	111	40%	40%	93	500	500	85	100	100	150	-100	-100										36	55										
XÝch Ký 	0	10	4	9	4	\spr\item\equip\horse\horse002.spr	40	2	3	"Còng chÝnh lµ Kú Ký,mét trong t¸m con danh m· cña Chu Môc V­¬ng."	100000	111	50%	50%	93	1000	1000	85	200	200	150	-200	-200										36	60										
XÝch Ký 	0	10	4	10	4	\spr\item\equip\horse\horse002.spr	40	2	3	"Còng chÝnh lµ Kú Ký,mét trong t¸m con danh m· cña Chu Môc V­¬ng."	100000	111	50%	50%	93	1000	1000	85	200	200	150	-200	-200										36	72										
¤ V©n §¹p TuyÕt	0	10	5	1	5	\spr\item\equip\horse\horse010.spr	40	2	3	"TuyÖt thÕ danh m·, chØ nh÷ng bËc v­¬ng gi¶ míi cã thÓ mua."	250000	111	80%	80%	93	1000	1000	85	200	200	150	200	200										36	80										
XÝch Thè 	0	10	5	2	5	\spr\item\equip\horse\horse011.spr	40	2	3	"Còng ®­îc xÕp vµo hµng ""Thiªn h¹ ®Ö nhÊt m·""."	250000	111	80%	80%	93	1000	1000	85	500	500	150	200	200										36	80										
