Name	Genre	DetailType	ParticularType	Level	Series	Icon	ObjID	Width	Height	Intro	Price	BasicProp1Type	BasicProp1PAMin	BasicProp1PAMax	BasicProp2Type	BasicProp2PAMin	BasicProp2PAMax	BasicProp3Type	BasicProp3PAMin	BasicProp3PAMax	BasicProp4Type	BasicProp4PAMin	BasicProp4PAMax	BasicProp5Type	BasicProp5PAMin	BasicProp5PAMax	BasicProp6Type	BasicProp6PAMin	BasicProp6PAMax	BasicProp7Type	BasicProp7PAMin	BasicProp7PAMax	ReqProp1Type	ReqProp1Value	ReqProp2Type	ReqProp2Value	ReqProp3Type	ReqProp3Value	ReqProp4Type	ReqProp4Value	ReqProp5Type	ReqProp5Value	ReqProp6Type	ReqProp6Value
Phi phong L¨ng V©n(X¸c suÊt hãa gi¶i s¸t th­¬ng)	0	12	0	1		\spr\item\equip\pifengtubiao\pifeng_01.spr	338	1	1	"T­¬ng truyÒn së h÷u ®¹o cô nµy s¬m muén g× còng x­ng b¸ thiªn  h¹, vang danh giang hå"		241	35	35	231	35	35	243	350	350	233	6000	6000	245	20	20	237	70	70															
Phi phong TuyÖt ThÕ(X¸c suÊt hãa gi¶i s¸t th­¬ng)	0	12	0	2		\spr\item\equip\pifengtubiao\pifeng_02.spr	338	1	1	"T­¬ng truyÒn së h÷u ®¹o cô nµy s¬m muén g× còng x­ng b¸ thiªn  h¹, vang danh giang hå"		241	35	35	231	35	35	243	350	350	233	6000	6000	245	20	20	237	70	70															
Phi phong cÊp Ph¸ Qu©n(X¸c suÊt hãa gi¶i s¸t th­¬ng)	0	12	0	3		\spr\item\equip\pifengtubiao\pifeng_03.spr	338	1	1	"T­¬ng truyÒn së h÷u ®¹o cô nµy s¬m muén g× còng x­ng b¸ thiªn  h¹, vang danh giang hå"		241	35	35	231	35	35	243	350	350	233	6000	6000	245	20	20	237	70	70															
Phi phong Ng¹o TuyÕt(X¸c suÊt hãa gi¶i s¸t th­¬ng)	0	12	0	4		\spr\item\equip\pifengtubiao\pifeng_04.spr	338	1	1	"T­¬ng truyÒn së h÷u ®¹o cô nµy s¬m muén g× còng x­ng b¸ thiªn  h¹, vang danh giang hå"		241	35	35	231	35	35	243	350	350	233	6000	6000	245	20	20	237	70	70															
Phi phong Kinh L«i(X¸c suÊt hãa gi¶i s¸t th­¬ng)	0	12	0	5		\spr\item\equip\pifengtubiao\pifeng_05.spr	338	1	1	"T­¬ng truyÒn së h÷u ®¹o cô nµy s¬m muén g× còng x­ng b¸ thiªn  h¹, vang danh giang hå"		241	35	35	231	35	35	243	350	350	233	6000	6000	245	20	20	237	70	70															
Phi phong Ngù Phong(X¸c suÊt hãa gi¶i s¸t th­¬ng)	0	12	0	6		\spr\item\equip\pifengtubiao\pifeng_06.spr	338	1	1	"T­¬ng truyÒn së h÷u ®¹o cô nµy s¬m muén g× còng x­ng b¸ thiªn  h¹, vang danh giang hå"		241	35	35	231	35	35	243	350	350	233	6000	6000	245	20	20	237	70	70															
Phi Phong CÊp PhÖ Quang(X¸c suÊt hãa gi¶i s¸t th­¬ng)	0	12	0	7		\spr\item\equip\pifengtubiao\pifeng_07.spr	338	1	1	"T­¬ng truyÒn së h÷u ®¹o cô nµy s¬m muén g× còng x­ng b¸ thiªn  h¹, vang danh giang hå"		241	35	35	231	35	35	243	350	350	233	6000	6000	245	20	20	237	70	70															
Phi Phong KhÊp ThÇn(X¸c suÊt hãa gi¶i s¸t th­¬ng)	0	12	0	8		\spr\item\equip\pifengtubiao\pifeng_08.spr	338	1	1	"T­¬ng truyÒn së h÷u ®¹o cô nµy s¬m muén g× còng x­ng b¸ thiªn  h¹, vang danh giang hå"		241	35	35	231	35	35	243	350	350	233	6000	6000	245	20	20	237	70	70															
Phi phong K×nh Thiªn (X¸c suÊt hãa gi¶i s¸t th­¬ng)	0	12	0	9		\spr\item\equip\pifengtubiao\pifeng_09.spr	338	1	1	"T­¬ng truyÒn së h÷u ®¹o cô nµy s¬m muén g× còng x­ng b¸ thiªn  h¹, vang danh giang hå"		241	35	35	231	35	35	243	350	350	233	6000	6000	245	20	20	237	70	70															
Phi Phong V« Cùc (X¸c suÊt hãa gi¶i s¸t th­¬ng)	0	12	0	10		\spr\item\equip\pifengtubiao\pifeng_10.spr	338	1	1	"T­¬ng truyÒn së h÷u ®¹o cô nµy s¬m muén g× còng x­ng b¸ thiªn  h¹, vang danh giang hå"		241	35	35	231	35	35	243	350	350	233	6000	6000	245	20	20	237	70	70															
