Name	ItemGenre	DetailType	ParticularType	Level	Icon	ObjID	Width	Height	Intro	Price	MagicNo1	Value1	Time1	MagicNo2	Value2	Time2	MagicNo3	Value3	Time3
Kim S¸ng D­îc (tiÓu) 	5	0	0	1	\spr\item\medecine\obj-potion01.spr	18	1	1	Håi phôc chót Ýt khÝ huyÕt	50	153	10	100						
Kim S¸ng D­îc (trung) 	5	0	0	2	\spr\item\medecine\obj-potion01.spr	18	1	1	Håi phôc khÝ huyÕt t­¬ng ®èi nhanh.	100	153	25	100						
Kim S¸ng D­îc (®¹i) 	5	0	0	3	\spr\item\medecine\obj-potion02.spr	307	1	1	Håi phôc khÝ huyÕt cùc nhanh.	250	153	25	200						
Håi Thiªn ®an	5	0	0	4	\spr\item\medecine\obj-potion02.spr	307	1	1	ThÇn d­îc ch÷a th­¬ng, c¶i tö hoµn sinh	500	153	50	200						
Cöu ChuyÓn Hoµn Hån ®an	5	0	0	5	\spr\item\medecine\obj-potion03.spr	310	1	1	LËp tøc håi phôc 5000 ®iÓm sinh lùc	2000	153	500	100						
Ng­ng ThÇn ®an (tiÓu) 	5	1	0	1	\spr\item\medecine\obj-potion06.spr	20	1	1	Cã thÓ håi phôc chót Ýt Néi lùc	50	154	5	200						
Ng­ng ThÇn ®an (trung) 	5	1	0	2	\spr\item\medecine\obj-potion06.spr	20	1	1	Håi phôc Néi lùc t­¬ng ®èi nhanh.	100	154	10	200						
Ng­ng ThÇn ®an (®¹i) 	5	1	0	3	\spr\item\medecine\obj-potion07.spr	309	1	1	Håi phôc Néi lùc côc nhanh	250	154	20	250						
§¹i Bæ t¸n	5	1	0	4	\spr\item\medecine\obj-potion07.spr	309	1	1	Håi phôc Néi lôc trong nh¸y m¾t	500	154	50	200						
¤ ®Çu Hoµn thÇn ®an	5	1	0	5	\spr\item\medecine\obj-potion08.spr	312	1	1	LËp tøc håi phôc 5000 ®iÓm Néi lùc	2000	154	500	100						
Thõa Tiªn MËt (tiÓu) 	5	2	0	1	\spr\item\medecine\obj-potion11.spr	19	1	1	§ång thêi håi phôc chót Ýt Sinh lùc vµ Néi lùc.	80	153	10	100	154	6	100			
Thõa Tiªn MËt (trung) 	5	2	0	2	\spr\item\medecine\obj-potion11.spr	19	1	1	§ång thêi håi phôc nhanh Sinh lùc vµ Néi lùc 	150	153	25	100	154	6	250			
