ItemGenre	DetailType	ParticularType	Series	Level	StackNum	CashPrice	GoldCoinPrice	FuyuanPrice	BattlePrice	FightPrice		DiscountPrice	ExpriedTime	HotSell	SaveLog
5	0	0	0	1		50									
5	0	0	0	2											
5	0	0	0	3											
5	0	0	0	4											
5	0	0	0	5		2000									
5	1	0	0	1											
5	1	0	0	2											
5	1	0	0	3											
5	1	0	0	4											
5	1	0	0	5		2000									
5	2	0	0	1											
5	2	0	0	2											
5	2	0	0	3											
5	2	0	0	4											
5	2	0	0	5		3000									
5	3	0	0	1											
5	3	0	0	2											
5	3	0	0	3											
5	3	0	0	4											
5	3	0	0	5											
5	4	0	0	1											
5	4	0	0	2											
5	4	0	0	3		2000									
5	4	0	0	4		2000									
5	4	0	0	5		3000									
5	5	0	0	1		2000									
5	5	0	0	2		2000									
5	5	0	0	3		3000									
5	5	0	0	4											
0	2	2	4	1		100									
0	2	2	4	2		500									
0	2	3	3	1		100									
0	2	3	3	2		400									
0	2	4	4	1		100									
0	2	6	4	1		100									
0	2	9	0	1		100									
0	2	9	0	2		500									
0	7	2	0	1		100									
0	7	2	0	2		300									
0	7	3	3	1		120									
0	7	3	3	2		320									
0	7	4	2	1		370									
0	7	4	2	2		610									
0	7	6	1	1		120									
0	7	6	1	2		320									
0	7	8	2	1		100									
0	7	8	2	2		200									
0	2	10	1	1		100									
0	2	10	1	2		400									
0	2	11	1	1		400									
0	2	11	1	2		1000									
0	2	13	1	1		100									
0	2	13	1	2		100									
0	7	9	2	1		100									
0	7	9	2	2		300									
0	7	11	3	1		370									
0	7	11	3	2		610									
0	7	12	3	1		60									
0	7	12	3	2		160									
0	7	13	3	1		120									
7	18	0	0	0		500									
7	19	0	0	0			500								
7	20	0	0	0			500								
7	21	0	0	0		100									
7	22	0	0	0		5000									
0	5	0	3	1											
0	5	0	3	2											
0	5	0	3	3											
0	5	0	3	4											
0	5	0	3	5											
0	5	0	3	6											
0	5	0	3	7											
0	5	0	3	8											
0	5	2	2	1											
0	5	2	2	2											
0	5	2	2	3											
0	5	2	2	4											
0	5	2	2	5											
0	5	2	2	6											
0	5	2	2	7											
0	5	2	2	8											
0	6	0	1	1											
0	6	0	2	2											
0	6	0	3	3											
0	6	0	4	4											
0	6	0	5	5											
0	6	0	6	6											
0	6	0	7	7											
0	6	0	8	8											
0	8	0	1	1											
0	8	0	1	2											
0	8	0	1	3											
0	8	0	1	4											
0	8	0	1	5											
0	8	0	1	6											
0	8	0	1	7											
0	8	0	1	8											
0	8	1	1	1											
0	8	1	1	2											
0	8	1	1	3											
0	8	1	1	4											
0	8	1	1	5											
0	8	1	1	6											
0	8	1	1	7											
0	8	1	1	8											
0	8	0	2	5											
0	5	2	1	5											
0	6	0	3	5											
0	8	1	2	4											
0	8	1	2	5											
0	8	0	2	4											
0	6	1	4	4											
0	0	0	4	1											
0	0	0	4	2											
0	0	1	3	1											
0	0	1	3	2											
0	0	2	1	1											
0	0	2	1	2											
0	0	3	2	1											
0	1	0	1	1											
0	0	4	1	1											
0	0	4	1	2											
0	1	0	1	2											
0	0	3	2	2											
0	1	1	1	1											
0	1	1	1	2											
0	1	2	1	1											
0	0	5	2	1											
0	0	5	2	2											
0	1	2	1	2											
0	0	0	4	3											
0	0	0	4	4											
0	0	0	4	5											
0	0	2	0	1											
0	0	2	0	2											
0	0	2	0	3											
0	0	2	0	4											
0	0	2	0	5											
0	0	5	2	3											
0	0	5	2	4											
0	0	5	2	5											
0	0	2	2	3											
0	0	2	1	3											
0	0	5	1	3											
0	0	5	3	3											
0	0	1	3	3											
0	0	1	3	4											
0	0	1	3	5											
0	0	3	2	3											
0	0	3	2	4											
0	0	3	2	5											
0	0	4	0	1											
0	0	4	0	2											
0	0	4	0	3											
0	0	4	0	4											
0	0	4	0	5											
0	0	1	4	3											
0	0	3	1	3											
0	0	0	0	3											
0	10	3	2	1											
0	10	3	2	2											
0	10	3	2	3											
0	10	3	2	4											
0	10	3	2	5											
0	10	3	2	6											
0	10	3	2	7											
0	10	3	2	8											
0	10	3	2	9											
0	10	3	2	10											
0	10	4	3	1											
0	10	4	3	2											
0	10	4	3	3											
0	10	4	3	4											
0	10	4	3	5											
0	10	4	3	6											
0	10	4	3	7											
0	10	4	3	8											
0	10	4	3	9											
0	10	4	3	10											
0	10	0	4	1											
0	10	0	4	2											
0	10	0	4	3											
0	10	0	4	4											
0	10	0	4	5											
0	10	0	4	6											
0	10	0	4	7											
0	10	0	4	8											
0	10	0	4	9											
0	10	0	4	10											
0	10	1	1	1											
0	10	1	1	2											
0	10	1	1	3											
0	10	1	1	4											
0	10	1	1	5											
0	10	1	1	6											
0	10	1	1	7											
0	10	1	1	8											
0	10	1	1	9											
0	10	1	1	10											
0	10	2	0	1											
0	10	2	0	2											
0	10	2	0	3											
0	10	2	0	4											
0	10	2	0	5											
0	10	2	0	6											
0	10	2	0	7											
0	10	2	0	8											
0	10	2	0	9											
0	10	2	0	10											
7	81	0	0	1					1000						
7	82	0	0	2					800						
7	82	0	0	3					1500						
7	126	0	0	4					200						
7	127	0	0	5					100						
7	103	0	0	6					400						
7	104	0	0	7					400						
7	105	0	0	8					400						
7	106	0	0	9					400						
7	107	0	0	10					400						
7	108	0	0	1					400						
7	109	0	0	2					400						
7	110	0	0	3					300						
7	111	0	0	4					300						
7	112	0	0	5					300						
7	113	0	0	6					300						
7	114	0	0	7					300						
7	115	0	0	8					400						
7	116	0	0	9					300						
7	117	0	0	10					300						
7	118	0	0	1					300						
7	119	0	0	2					300						
7	120	0	0	3					300						
6	14	0	0	4					5000						
5	6	0	0	1		50									
5	6	0	0	2											
5	6	0	0	3											
5	6	0	0	4											
5	6	0	0	5		2000									
5	7	0	0	1											
5	7	0	0	2											
5	7	0	0	3											
5	7	0	0	4											
5	7	0	0	5		2000									
5	8	0	0	1											
5	8	0	0	2											
5	8	0	0	3											
5	8	0	0	4											
5	8	0	0	5		3000									
5	9	0	0	1											
5	9	0	0	2											
5	9	0	0	3											
5	9	0	0	4											
5	9	0	0	5											
5	10	0	0	1											
5	10	0	0	2											
5	10	0	0	3		2000									
5	10	0	0	4		2000									
5	10	0	0	5		3000									
5	11	0	0	1		2000									
5	11	0	0	2		2000									
5	11	0	0	3		3000									
5	11	0	0	4											
7	0	0	1	1			100					50	30	1	
7	2	0	1	2			100					50	30	1	
7	3	0	1	3			5					3	30		
7	4	0	1	4			16					6	30		
7	5	0	1	5			7					4	30		
7	6	0	1	1			19					14	30		
7	14	0	1	2			19						30		
7	19	0	1	3			48						30		
7	19	0	1	4			50					20	30	1	
7	70	0	1	5			50					25	30		
7	28	0	1	1			9						30		
7	29	0	1	2			19						30		
7	30	0	1	3			2						30		
7	71	0	1	4			10						30		
7	31	0	1	1			19						30		
7	32	0	1	1			19						30		
7	33	0	1	1			19						30		
7	34	0	1	1			19						30		
7	35	0	1	1			19						30		
7	36	0	1	1			19						30		
7	37	0	1	1			19						30		
7	38	0	1	1			19						30		
7	39	0	1	1			19						30		
7	40	0	1	1			19						30		
7	41	0	1	1			19						30		
7	42	0	1	1			19						30		
7	43	0	1	1			19						30		
7	44	0	1	1			19						30		
7	45	0	1	1			19						30		
7	46	0	1	1			19						30		
7	47	0	1	1			19						30		
7	48	0	1	1			19						30		
7	49	0	1	1			19						30		
7	50	0	1	1			19						30		
7	51	0	1	1			19						30		
7	52	0	1	1			19						30		
7	53	0	1	1			19						30		
7	54	0	1	1			19						30		
7	55	0	1	1			19						30		
7	56	0	1	1			19						30		
7	57	0	1	1			19						30		
7	58	0	1	1			19						30		
7	59	0	1	1			119						30		
7	60	0	1	1			119						30		
7	61	0	1	1			119						30		
7	62	0	1	1			119						30		
7	63	0	1	1			119						30		
7	64	0	1	1			119						30		
7	65	0	1	1			119						30		
7	66	0	1	1			119						30		
7	67	0	1	1			119						30		
7	68	0	1	1			119						30		
6	14	0	1	1			19						30		
6	15	0	1	1			5						30		
6	16	0	1	1			3						30		
6	17	0	1	1			3						30		
6	18	0	1	1			3						30		
6	22	0	1	1			49						30		
6	23	0	1	1			49						30		
6	24	0	1	1			49						30		
6	25	0	1	1			49						30		
6	26	0	1	1			9						30		
7	74	0	1	1			29						30		
7	75	0	1	1			29						30		
7	76	0	1	1			29						30		
7	77	0	1	1			29						30		
7	78	0	1	1			29						30		
7	79	0	1	1			59						30		
7	80	0	1	1			119						30		
0	11	0	0	1			1						30		
0	11	0	1	2			1						30		
0	11	0	2	3			1						30		
0	11	0	3	4			1						30		
0	11	0	0	5			1						30		
0	11	0	0	6			1						30		
0	11	0	1	7			1						30		
0	11	0	2	8			1						30		
0	11	0	3	9			1						30		
0	11	0	4	10			1						30		
7	20	0	1	1			50					20	30	1	
6	12	0	0	0		250000									
7	11	0	0	0				12							
7	12	0	0	0				24							
7	13	0	0	0				60							
7	73	0	0	0				1250							
6	59	0	0	0			1								
7	131	0	0	0			3								
7	132	0	0	0			200							1	
7	15	0	0	0			90					45		1	
7	16	0	0	0			139					49		1	
0	11	1	0	5			1						30		
0	11	1	0	6			1						30		
0	11	1	0	7			1						30		
0	11	1	0	8			1						30		
0	11	1	0	9			1						30		
0	11	1	0	10			1						30		
0	11	2	0	1			1						30		
0	11	2	0	2			1						30		
0	11	2	0	3			1						30		
0	11	2	0	4			1						30		
0	11	2	0	5			1						30		
0	11	2	0	6			1						30		
0	11	2	0	7			1						30		
0	11	2	0	8			1						30		
0	11	2	0	9			1						30		
0	11	2	0	10			1						30		
0	11	3	0	1			1						30		
0	11	3	0	2			1						30		
0	11	3	0	3			1						30		
0	11	3	0	4			1						30		
0	11	3	0	5			1						30		
0	11	3	0	6			1						30		
0	11	3	0	7			1						30		
0	11	3	0	8			1						30		
0	11	3	0	9			1						30		
0	11	3	0	10			1						30		
0	11	4	0	1			1						30		
0	11	4	0	2			1						30		
0	11	4	0	3			1						30		
0	11	4	0	4			1						30		
0	11	4	0	5			1						30		
0	11	4	0	6			1						30		
0	11	4	0	7			1						30		
0	11	4	0	8			1						30		
0	11	4	0	9			1						30		
0	11	4	0	10			1						30		
0	11	5	0	1			1						30		
0	11	5	0	2			1						30		
0	11	5	0	3			1						30		
0	11	5	0	4			1						30		
0	11	5	0	5			1						30		
0	11	5	0	6			1						30		
0	11	5	0	7			1						30		
0	11	5	0	8			1						30		
0	11	5	0	9			1						30		
0	11	5	0	10			1						30		
0	11	6	0	1			1						30		
0	11	6	0	2			1						30		
0	11	6	0	3			1						30		
0	11	6	0	4			1						30		
0	11	6	0	5			1						30		
0	11	6	0	6			1						30		
0	11	6	0	7			1						30		
0	11	6	0	8			1						30		
0	11	6	0	9			1						30		
0	11	6	0	10			1						30		
0	11	7	0	1			1						30		
0	11	7	0	2			1						30		
0	11	7	0	3			1						30		
0	11	7	0	4			1						30		
0	11	7	0	5			1						30		
0	11	7	0	6			1						30		
0	11	7	0	7			1						30		
0	11	7	0	8			1						30		
7	70	0	1	9			10						10	1	
6	63	0	1	10			1							1	
7	136	0	1	1			9							1	
7	23	0	1	2			5							1	
7	137	0	1	3			3							1	
6	21	0	1	4			100							1	
6	12	0	1	5			1							1	
7	1	0	1	6			5							1	
7	24	0	1	7			3							1	
7	141	0	1	8			3							1	
