Desc	Exp	Life	LifeReplenish	AttackRating	Defense	MinDamage	MaxDamage	Treasure	WalkSpeed	RunSpeed	AttackSpeed	CastSpeed	SkillName	SkillLevel	FireResist	FireResistMax	ColdResist	ColdResistMax	LightingResist	LightingResistMax	PoisonResist	PoisonResistMax	PhycicsResist	PhycicsResistMax	AiMode	AiParam1	AiParam2	AiParam3	AiParam4	AiParam5	AiParam6	AiParam7	AiParam8	AiParam9	AiParam10	AiMaxTime	PhysicalDamageBase	PhysicalMagicBase	PoisonDamageBase	PoisonMagicBase	ColdDamageBase	ColdMagicBase	FireDamageBase	FireMagicBase	LightingDamageBase	LightingMagicBase
NPC NhiÖm vô 	100	100	20	100	100	100	100	16	0	0	0	0			50	100	50	100	50	100	10	50	50	100	2	80	25	15	100	25	25	25	20	50		18	20000	20000	20000	20000	20000	20000	20000	20000	20000	20000
Npc Hoµng Kim	100	200	20	200	150	100	100	16	0	0	0	0			50	100	50	100	50	100	10	50	50	100	2	80	25	15	100	25	25	25	20	50		18	50000	50000	50000	50000	50000	50000	50000	50000	50000	50000
Cöu §Çu ¤ 	100	200	20	200	150	100	100	16	0	0	0	0			50	100	50	100	50	100	10	50	50	100	2	80	25	15	100	25	25	25	20	50		18	100	100	100	100	100	100	100	100	100	100
CÊp tèc  	100	200	20	200	150	100	100	16	4	4	2	2			50	100	50	100	50	100	10	50	50	100	2	80	25	15	100	25	25	25	20	50		18	100	100	100	100	100	100	100	100	100	100
Hung Tµn  	100	200	20	200	150	100	100	16	0	0	0	0			50	100	50	100	50	100	10	50	50	100	2	80	25	15	100	25	25	25	20	50		18	100	100	100	100	100	100	100	100	100	100
Lanh lÑ 	100	200	20	200	150	100	100	16	2	2	0	0			1	10	1	10	1	10	1	10	1	10	2	80	25	15	100	25	25	25	20	50		18	100	100	100	100	100	100	100	100	100	100
Kim 	100	200	20	200	150	100	100	16	0	0	0	0			50	100	50	100	50	100	10	50	50	100	2	80	25	15	100	25	25	25	20	50		18	100	100	100	100	100	100	100	100	100	100
Méc 	100	200	20	200	150	100	100	16	0	0	0	0			50	100	50	100	100	100	10	50	50	100	2	80	25	15	100	25	25	25	20	50		18	100	100	100	100	100	100	100	100	100	100
Háa 	100	200	20	200	150	100	100	16	0	0	0	0			50	100	50	100	50	100	10	50	100	100	2	80	25	15	100	25	25	25	20	50		18	100	100	100	100	100	100	100	100	100	100
Thñy 	100	200	20	200	150	100	100	16	0	0	0	0			100	100	50	100	50	100	10	50	50	100	2	80	25	15	100	25	25	25	20	50		18	100	100	100	100	100	100	100	100	100	100
Thæ 	100	200	20	200	150	100	100	16	0	0	0	0			50	100	100	100	50	100	10	50	50	100	2	80	25	15	100	25	25	25	20	50		18	100	100	100	100	100	100	100	100	100	100
L·nh tô  	100	200	500	200	150	100	100	16	0	0	0	0			50	100	50	100	50	100	10	50	50	100	2	80	25	15	100	25	25	25	20	50		18	100	100	100	100	100	100	100	100	100	100
Th«ng dông (thÊp) 	800	200	20	100	100	200	200	9	1	1	0	0			75	95	75	95	75	95	75	95	75	95	2	80	25	15	100	25	25	25	20	50		6	100	100	100	100	100	100	100	100	100	100
Th«ng dông (võa) 	800	100	20	100	100	200	200	9	1	1	0	0			75	95	75	95	75	95	75	95	75	95	2	80	25	15	100	25	25	25	20	50		6	100	100	100	100	100	100	100	100	100	100
Th«ng dông (cao) 	800	100	20	100	100	200	200	16	1	1	0	0			75	95	75	95	75	95	75	95	75	95	2	80	25	15	100	25	25	25	20	50		6	100	100	100	100	100	100	100	100	100	100
LÊy b¶o vËt  	100	1000	100	150	200	150	150	4	1	1	0	0	Vßng trßn  miÔn dÞch 	60	75	95	75	95	75	95	75	95	75	95	2	80	25	15	100	25	25	25	20	50		6	100	100	100	100	100	100	100	100	100	100
