Record	ResType
1	0
2	10
3	10
4	10
5	10
6	10
7	10
8	10
9	10
10	10
11	10
12	6
13	6
14	6
15	6
16	6
17	6
18	6
19	6
20	6
21	6
22	9
23	9
24	9
25	9
26	9
27	9
28	9
29	9
30	9
31	9
32	5
33	5
34	5
35	5
36	5
37	5
38	5
39	5
40	5
41	5
42	8
43	8
44	8
45	8
46	8
47	8
48	8
49	8
50	8
51	8
52	7
53	2
54	11
55	4
56	3
57	7
58	2
59	11
60	4
61	3
62	12
63	12
64	12
65	12
66	12
67	12
68	12
69	12
70	12
71	12
72	13
73	13
74	13
75	13
76	13
77	13
78	13
79	13
80	13
81	13
82	14
83	14
84	14
85	14
86	14
87	14
88	14
89	14
90	14
91	14
92	15
93	15
94	15
95	15
96	15
97	15
98	15
99	15
100	15
101	15
102	16
103	16
104	16
105	16
106	16
107	16
108	16
109	16
110	16
111	16
112	17
113	17
114	17
115	17
116	17
117	17
118	17
119	17
120	17
121	17
122	18
123	18
124	18
125	18
126	18
127	18
128	18
129	18
130	18
131	18
132	19
133	19
134	19
135	19
136	19
137	19
138	19
139	19
140	19
141	19
142	20
143	20
144	20
145	20
146	20
147	20
148	20
149	20
150	20
151	20
152	21
153	21
154	21
155	21
156	21
157	21
158	21
159	21
160	21
161	21
162	22
163	22
164	22
165	22
166	22
167	22
168	22
169	22
170	22
171	22
172	23
173	23
174	23
175	23
176	23
177	23
178	23
179	23
180	23
181	23
182	24
183	24
184	24
185	24
186	24
187	24
188	24
189	24
190	24
191	24
192	13
193	13
194	13
195	13
196	13
197	13
198	13
199	13
200	13
201	13
202	13
203	13
204	13
205	13
206	13
207	13
208	13
209	13
210	13
211	13
212	13
213	13
214	13
215	13
216	13
217	13
218	13
219	13
220	13
221	13
222	25
223	25
224	25
225	25
226	25
227	25
228	25
229	25
230	25
231	25
232	26
233	26
234	26
235	26
236	26
237	26
238	26
239	26
240	26
241	26
242	27
243	27
244	27
245	27
246	27
247	27
248	27
249	27
250	27
251	27
252	28
253	28
254	28
255	28
256	28
257	28
258	28
259	28
260	28
261	28
262	29
263	29
264	29
265	29
266	29
267	29
268	29
269	29
270	29
271	29
272	30
273	30
274	30
275	30
276	30
277	30
278	30
279	30
280	30
281	30
282	31
283	31
284	31
285	31
286	31
287	31
288	31
289	31
290	31
291	31
292	32
293	32
294	32
295	32
296	32
297	32
298	32
299	32
300	32
301	32
302	13
303	13
304	13
305	13
306	13
307	13
308	13
309	13
310	13
311	13
312	15
313	15
314	15
315	15
316	15
317	15
318	15
319	15
320	15
321	15
322	19
323	19
324	19
325	19
326	19
327	19
328	19
329	19
330	19
331	19
