Name	Genre	DetailType	ParticularType	Level	Series	Icon	ObjID	Width	Height	Intro	Price	BasicProp1Type	BasicProp1PAMin	BasicProp1PAMax	BasicProp2Type	BasicProp2PAMin	BasicProp2PAMax	BasicProp3Type	BasicProp3PAMin	BasicProp3PAMax	BasicProp4Type	BasicProp4PAMin	BasicProp4PAMax	BasicProp5Type	BasicProp5PAMin	BasicProp5PAMax	BasicProp6Type	BasicProp6PAMin	BasicProp6PAMax	BasicProp7Type	BasicProp7PAMin	BasicProp7PAMax	ReqProp1Type	ReqProp1Value	ReqProp2Type	ReqProp2Value	ReqProp3Type	ReqProp3Value	ReqProp4Type	ReqProp4Value	ReqProp5Type	ReqProp5Value	ReqProp6Type	ReqProp6Value
Kim TiÒn tiªu	0	1	0	1		\spr\item\equip\rangeweapon\obj-adart01.spr	15	1	1	Lo¹i phi tiªu b»ng ®ång th«ng th­êng. 	10	28	4	4	29	9	9	167	0	0	31	50	50										36	0	32	0	33	30						
ThiÕu L©m T¸o Nh©n Tiªu	0	1	0	2		\spr\item\equip\rangeweapon\obj-adart01.spr	15	1	1	¸m khÝ b»ng ®ång, nhá nh­ h¹t t¸o. 	15	28	7	7	29	18	18	167	0	0	31	50	50										36	9	32	10	33	45						
YÕn tö Tiªu	0	1	0	3		\spr\item\equip\rangeweapon\obj-adart01.spr	15	1	1	Lo¹i phi tiªu nh­ ®u«i chim yÕn, bay kh«ng nghe tiÕng kªu, h¹ thñ chÝnh x¸c. 	20	28	12	12	29	28	28	167	0	0	31	50	50										36	18	32	15	33	60						
ThËp tù tiªu	0	1	0	4		\spr\item\equip\rangeweapon\obj-adart02.spr	15	1	1	Lo¹i phi tiªu c¸c nhÉn gi¶ NhËt B¶n th­êng thÝch sö dông, nh­ng tiÕng kªu rÊt to. 	30	28	15	15	29	36	36	167	0	0	31	50	50										36	27	32	20	33	75						
LiÔu DiÖp tiªu	0	1	0	5		\spr\item\equip\rangeweapon\obj-adart02.spr	15	1	1	Máng nh­ l¸ liÔu, kü thuËt ph¶i thËt ®iªu luyÖn míi cã thÓ phãng tróng. 	40	28	19	19	29	44	44	167	0	0	31	50	50										36	36	32	30	33	90						
Phi Hoµng Tiªu	0	1	0	6		\spr\item\equip\rangeweapon\obj-adart02.spr	15	1	1	Th©n cã hai c¸nh, sau ®u«i cã mét mãc c©u, lµ lo¹i ¸m khÝ rÊt lîi h¹i. 	50	28	23	23	29	54	54	167	0	0	31	50	50										36	45	32	40	33	105						
ThiÕu L©m L­îng Ng©n Phi Tiªu	0	1	0	7		\spr\item\equip\rangeweapon\obj-adart03.spr	15	1	1	Ng­êi xuÊt gia lÊy tõ bi lµm ®Çu, ¸m khÝ chØ s¸t th­¬ng nhÑ. 	70	28	27	27	29	63	63	167	0	0	31	50	50										36	54	32	50	33	120						
Hå §iÖp Tiªu	0	1	0	8		\spr\item\equip\rangeweapon\obj-adart03.spr	15	1	1	H×nh nh­ b­¬m b­ím, cã thÓ bay l­în trong kh«ng trung. 	90	28	31	31	29	72	72	167	0	0	31	50	50										36	63	32	60	33	135						
Kim Tiªu 	0	1	0	9		\spr\item\equip\rangeweapon\obj-adart03.spr	15	1	1	Lo¹i phi tiªu b»ng s¾t ®Çu bÞt vµng, nhän vµ rÊt nÆng, ph¶i cã søc m¹nh míi cã thÓ sö dông. 	125	28	34	34	29	81	81	167	0	0	31	50	50										36	72	32	70	33	150						
B¸ V­¬ngTiªu	0	1	0	10		\spr\item\equip\rangeweapon\obj-adart04.spr	15	1	1	Lo¹i phi tiªu nµy ®óng ra ph¶i gäi lµ mminh khÝ, h×nh d¹ng to lín kh«ng thÓ gäi lµ ¸m khÝ. 	165	28	38	38	29	89	89	167	0	0	31	50	50										36	81	32	80	33	155						
