Name	Genre	DetailType	ParticularType	Level	Series	Icon	ObjID	Width	Height	Intro	Price	BasicProp1Type	BasicProp1PAMin	BasicProp1PAMax	BasicProp2Type	BasicProp2PAMin	BasicProp2PAMax	BasicProp3Type	BasicProp3PAMin	BasicProp3PAMax	BasicProp4Type	BasicProp4PAMin	BasicProp4PAMax	BasicProp5Type	BasicProp5PAMin	BasicProp5PAMax	BasicProp6Type	BasicProp6PAMin	BasicProp6PAMax	BasicProp7Type	BasicProp7PAMin	BasicProp7PAMax	ReqProp1Type	ReqProp1Value	ReqProp2Type	ReqProp2Value	ReqProp3Type	ReqProp3Value	ReqProp4Type	ReqProp4Value	ReqProp5Type	ReqProp5Value	ReqProp6Type	ReqProp6Value
Hoµng Ngäc Giíi ChØ	0	3	0	1		\spr\item\equip\ring\obj-ring01.spr	37	1	1	Lo¹i nhÉn ®eo b»ng Hoµng Ngäc th­êng thÊy, kh«ng ®¸ng gi¸. 	150																						36	1										
C¶m L·m Th¹ch Giíi ChØ	0	3	0	2		\spr\item\equip\ring\obj-ring02.spr	37	1	1	Lo¹i nhÉn ®eo b»ng qu¶ tr¸m th­êng thÊy, kh«ng ®¸ng gi¸. 	600																						36	7										
Phï Dung Th¹ch Giíi ChØ	0	3	0	3		\spr\item\equip\ring\obj-ring03.spr	37	1	1	Lo¹i nhÉn ®­îc kh·m vµo nh÷ng h¹t M· N·o nhá, kh«ng quý l¾m. 	1350																						36	14										
PhØ Thóy Giíi ChØ	0	3	0	4		\spr\item\equip\ring\obj-ring04.spr	37	1	1	Lo¹i nhÉn ®eo rÊt hiÕm nh×n thÊy ®­îc, gi¸ trÞ cùc quý. 	2400																						36	20										
Thóy Lùu Th¹ch Giíi ChØ	0	3	0	5		\spr\item\equip\ring\obj-ring05.spr	37	1	1	Lo¹i nhÉn b»ng Thóy Lùu quý hiÕm, chØ nh÷ng ng­êi cã thanh danh míi ®­îc ®eo. 	3750																						36	27										
Tæ MÉu Lôc Giíi ChØ	0	3	0	6		\spr\item\equip\ring\obj-ring06.spr	37	1	1	Lo¹i nhÉn ®­îc kh¶m Tæ MÉu Lôc do MiÕn §iÖn tiÕn cèng, cùc kú cao quý. 	5400																						36	34										
H¶i Lam B¶o Th¹ch Giíi ChØ	0	3	0	7		\spr\item\equip\ring\obj-ring07.spr	37	1	1	Lo¹i nhÉn kh¶m H¶i Lam B¶o Th¹ch do c¸c th­¬ng nh©n n­íc ngoµi mang vµo, vËt phÈm cùc hiÕm. 	7350																						36	40										
Hång B¶o Th¹ch Giíi ChØ	0	3	0	8		\spr\item\equip\ring\obj-ring08.spr	37	1	1	Lo¹i nhÉn kh¶m Hång B¶o Th¹ch xuÊt xø tõ n­íc TÝch Lan nh­ng rÊt ®­îc l­u dông trong n­íc. 	9600																						36	47										
Lam B¶o Th¹ch Giíi ChØ	0	3	0	9		\spr\item\equip\ring\obj-ring09.spr	37	1	1	Lo¹i nhÉn kh¶m Lam B¶o Th¹ch do c¸c cao t¨ng mang tõ Thiªn Tróc vÒ, cùc kú cao quý. 	12150																						36	54										
Toµn Th¹ch Giíi ChØ	0	3	0	10		\spr\item\equip\ring\obj-ring10.spr	37	1	1	Lo¹i nhÉn kh¶m Toµn Th¹ch mang tõ h¶i ngo¹i vÒ, nghe nãi cã tiÒm Èn mét søc m¹nh thÇn bÝ. 	15000																						36	60										
