Name	Genre	DetailType	ParticularType	Level	Series	Icon	ObjID	Width	Height	Intro	Price	BasicProp1Type	BasicProp1PAMin	BasicProp1PAMax	BasicProp2Type	BasicProp2PAMin	BasicProp2PAMax	BasicProp3Type	BasicProp3PAMin	BasicProp3PAMax	BasicProp4Type	BasicProp4PAMin	BasicProp4PAMax	BasicProp5Type	BasicProp5PAMin	BasicProp5PAMax	BasicProp6Type	BasicProp6PAMin	BasicProp6PAMax	BasicProp7Type	BasicProp7PAMin	BasicProp7PAMax	ReqProp1Type	ReqProp1Value	ReqProp2Type	ReqProp2Value	ReqProp3Type	ReqProp3Value	ReqProp4Type	ReqProp4Value	ReqProp5Type	ReqProp5Value	ReqProp6Type	ReqProp6Value
M∆t nπ - Tr≠¨ng T´ng Ch›nh	0	11	0	1		\spr\item\equip\mask\yrmj_01.spr	379	1	1	Mang vµo sœ bi’n thµnh NPC	0		511	511																														
M∆t nπ - Di÷u Nh≠ 	0	11	0	2		\spr\item\equip\mask\yrmj_01.spr	379	1	1	Mang vµo sœ bi’n thµnh NPC	0		513	513																														
M∆t nπ - Li‘u Thanh Thanh	0	11	0	3		\spr\item\equip\mask\yrmj_01.spr	379	1	1	Mang vµo sœ bi’n thµnh NPC	0		523	523																														
M∆t nπ - Phi’n Kh∏ch	0	11	0	4		\spr\item\equip\mask\yrmj_01.spr	379	1	1	Mang vµo sœ bi’n thµnh NPC	0		602	602																														
M∆t nπ - Lam Y Y	0	11	0	5		\spr\item\equip\mask\yrmj_01.spr	379	1	1	Mang vµo sœ bi’n thµnh NPC	0		582	582																														
M∆t nπ - CÊ B∏ch	0	11	0	6		\spr\item\equip\mask\yrmj_01.spr	379	1	1	Mang vµo sœ bi’n thµnh NPC	0		566	566																														
M∆t nπ - ßπo Thanh Ch©n Nh©n	0	11	0	7		\spr\item\equip\mask\yrmj_01.spr	379	1	1	Mang vµo sœ bi’n thµnh NPC	0		562	562																														
M∆t nπ - Gia LuÀt Tﬁ Ly	0	11	0	8		\spr\item\equip\mask\yrmj_01.spr	379	1	1	Mang vµo sœ bi’n thµnh NPC	0		563	563																														
M∆t nπ - Hoµn Nhan Tuy’t Y	0	11	0	9		\spr\item\equip\mask\yrmj_01.spr	379	1	1	Mang vµo sœ bi’n thµnh NPC	0		564	564																														
M∆t nπ - ßoan MÈc Du÷ 	0	11	0	10		\spr\item\equip\mask\yrmj_01.spr	379	1	1	Mang vµo sœ bi’n thµnh NPC	0		565	565																														
M∆t nπ - Chung Linh TÛ 	0	11	1	1		\spr\item\equip\mask\yrmj_01.spr	379	1	1	Mang vµo sœ bi’n thµnh NPC	0		567	567																														
M∆t nπ - Hµ Linh Phi™u	0	11	1	2		\spr\item\equip\mask\yrmj_01.spr	379	1	1	Mang vµo sœ bi’n thµnh NPC	0		568	568																														
M∆t nπ - Mπnh Th≠¨ng L≠¨ng	0	11	1	3		\spr\item\equip\mask\yrmj_01.spr	379	1	1	Mang vµo sœ bi’n thµnh NPC	0		583	583																														
VKJ_GM	0	11	1	4		\spr\item\equip\mask\yrmj_01.spr	379	1	1	Mang vµo sœ bi’n thµnh NPC	0		1204	1204																														
M∆t nπ - Long Ch©u	0	11	1	5		\spr\item\equip\mask\yrmj_01.spr	379	1	1	Mang vµo sœ bi’n thµnh NPC	0		729	729																														
M∆t nπ - ß«u RÂng	0	11	1	6		\spr\item\equip\mask\yrmj_01.spr	379	1	1	Mang vµo sœ bi’n thµnh NPC	0		730	730																														
M∆t nπ - Th©n RÂng	0	11	1	7		\spr\item\equip\mask\yrmj_01.spr	379	1	1	Mang vµo sœ bi’n thµnh NPC	0		731	731																														
M∆t nπ - ßu´i RÂng	0	11	1	8		\spr\item\equip\mask\yrmj_01.spr	379	1	1	Mang vµo sœ bi’n thµnh NPC	0		732	732																														
M∆t nπ - BÈ Hi Tr«n	0	11	1	9		\spr\item\equip\mask\yrmj_01.spr	379	1	1	Mang vµo sœ bi’n thµnh NPC	0		851	851																														
