Name	ItemGenre	DetailType	ParticularType	Icon	ObjID	Width	Height	Intro	Stack
Thóy Vò tr©m	6	0	0	\spr\item\questkey\taskobj001.spr	41	1	1	VËt phÈm nhiÖm vô  	0
§¹i M¹n ®µ la hoa	6	1	0	\spr\item\questkey\taskobj002.spr	41	1	1	VËt phÈm nhiÖm vô  	0
S¸t Thñ LÖnh [Kim]	6	2	1	\spr\item\questkey\taskobj126.spr	336	1	1	PhÇn th­ëng cho nhiÖm vô giÕt Boss <enter>5 c¸i ®ång cÊp ®æi ®­îc 1 S¸t Thñ gi¶n.	50
S¸t Thñ LÖnh [Méc]	6	3	1	\spr\item\questkey\taskobj126.spr	336	1	1	PhÇn th­ëng cho nhiÖm vô giÕt Boss <enter>5 c¸i ®ång cÊp ®æi ®­îc 1 S¸t Thñ gi¶n.	50
S¸t Thñ LÖnh [Thñy]	6	4	1	\spr\item\questkey\taskobj126.spr	336	1	1	PhÇn th­ëng cho nhiÖm vô giÕt Boss <enter>5 c¸i ®ång cÊp ®æi ®­îc 1 S¸t Thñ gi¶n.	50
S¸t Thñ LÖnh [Háa]	6	5	1	\spr\item\questkey\taskobj126.spr	336	1	1	PhÇn th­ëng cho nhiÖm vô giÕt Boss <enter>5 c¸i ®ång cÊp ®æi ®­îc 1 S¸t Thñ gi¶n.	50
S¸t Thñ LÖnh [Thæ]	6	6	1	\spr\item\questkey\taskobj126.spr	336	1	1	PhÇn th­ëng cho nhiÖm vô giÕt Boss <enter>5 c¸i ®ång cÊp ®æi ®­îc 1 S¸t Thñ gi¶n.	50
S¸t Thñ Gi¶n [Kim]	6	7	1	\spr\item\questkey\taskobj033.spr	9	1	2	Mang ®Õn gÆp NhiÕp Thİ TrÇn ®Ó nhËn nhiÖm vô ®Æc biÖt.	50
S¸t Thñ Gi¶n [Méc]	6	8	1	\spr\item\questkey\taskobj033.spr	9	1	2	Mang ®Õn gÆp NhiÕp Thİ TrÇn ®Ó nhËn nhiÖm vô ®Æc biÖt.	50
S¸t Thñ Gi¶n [Thñy]	6	9	1	\spr\item\questkey\taskobj033.spr	9	1	2	Mang ®Õn gÆp NhiÕp Thİ TrÇn ®Ó nhËn nhiÖm vô ®Æc biÖt.	50
S¸t Thñ Gi¶n [Háa]	6	10	1	\spr\item\questkey\taskobj033.spr	9	1	2	Mang ®Õn gÆp NhiÕp Thİ TrÇn ®Ó nhËn nhiÖm vô ®Æc biÖt.	50
S¸t Thñ Gi¶n [Thæ]	6	11	1	\spr\item\questkey\taskobj033.spr	9	1	2	Mang ®Õn gÆp NhiÕp Thİ TrÇn ®Ó nhËn nhiÖm vô ®Æc biÖt.	50
LÖnh Bµi Phong L¨ng §é	6	12	1	\spr\item\questkey\006.spr	385	1	1	§Õn ThuyÒn Phu Phong L¨ng §é ®Ó b¸o danh nhËn nhiÖm vô Phong L¨ng §é	50
Nh¹c V­¬ng KiÕm	6	13	1	\spr\item\questkey\ÔÀÍõ½£.spr	41	2	3	<color=green>T­îng tr­ng cho kÎ ®øng ®Çu mét bang héi.	0
Nh¹c V­¬ng Hån Th¹ch	6	14	1	\spr\Ui3\±íÇé\417.spr	41	1	1	Thu thËp ®ñ 50 viªn ®Õn thî rÌn T­¬ng D­¬ng chÕ t¹o Nh¹c V­¬ng KiÕm	50
