ID	STRING
10001	*********Vâ L©m TruyÒn Kú************
10002	<color=green>B¸o víi GM ®Ó söa lçi.<color>
10003	<color=red>Thao t¸c phi ph¸p.<color>
10004	ThiÕu l©m ph¸i lu«n ®­îc xem lµ Vâ l©m ®Ö nhÊt m«n ph¸i, mÖnh danh 'Th¸i s¬n b¾c ®Èu' cña Trung nguyªn vâ l©m
10005	C¨n b¶n cña ng­¬i cßn kĞm l¾m! H·y ®i luyÖn tËp thªm, bao giê ®Õn <color=red>cÊp 10<color> l¹i ®Õn t×m ta!
10006	Tªn ch÷ tr¾ng míi cã thÓ gia nhËp m«n ph¸i!
10007	Thuéc tİnh ngò hµnh kh«ng phï hîp! Kh«ng thÓ gia nhËp m«n ph¸i!
10008	ThiÕu L©m thanh tŞnh kh«ng thÓ thu n¹p n÷ giíi!
10009	ThiÕu L©m kh«ng hæ danh lµ danh m«n chİnh ph¸i! Huynh ®Ö cã muèn gia nhËp kh«ng?
10010	Quı m«n lÊy vò luyÖn vâ! UyÓn chuyÓn mµ tinh diÖu! TiÓu t¨ng v« cïng béi phôc!
10011	Thanh HiÓu S­ Th¸i cña quı ph¸i tinh th«ng phËt häc, vâ nghÖ cao c­êng, tiÓu t¨ng ng­ìng mé ®· l©u!
10012	Nghe nãi tõ §­êng m«n ®æi ¸m khİ thµnh minh khİ, h¹ thñ xuÊt thÇn! T¹i h¹ rÊt kh©m phôc!
10013	§éc M«n cña quı gi¸o thiªn h¹ ®Òu o¸n ghĞt! BÇn t¨ng m¹o muéi khuyªn c¸c ng­¬i nªn tu söa PhËt tËp! Quay ®Çu lµ bê!
10014	Nghe nãi Kim quèc ®ang muèn tiªu diÖt quı bang tËn gèc! Xin c¸c vŞ v« cïng thËn träng!
10015	Xin chuyÓn lêi hái th¨m cu¶ bÇn t¨ng ®Õn §¹o NhÊt Ch©n Nh©n! Cã dŞp sÏ ®Õn ®Ó thØnh gi¸o ng­êi!
10016	Ng­êi luyÖn vâ kş nhÊt lµ h¸m danh vµ ®è kŞ! A Di ®µ PhËt!
10017	Quı gi¸o tuy ®­îc Kim quèc b¶o hé, nh­ng giang hå cã quy t¾c cña giang hå. Kh«ng ph¶i muèn lµm g× th× lµm.
10018	D­íi sù l·nh ®¹o cña quı bang, d©n chóng ®· cã nh÷ng ngµy yªn b×nh h¹nh phóc! V¹n lÇn béi phôc! Béi phôc!
10019	Ng­¬i thùc sù cho m×nh ®· ®ñ b¶n lÜnh ®Ó xuÊt s­ xuèng nói sao? H·y suy nghÜ cho thËt thÊu ®¸o!<enter>§Ó xuÊt s­ ng­¬i cÇn ®¹t <color=green>®¼ng cÊp 60<color> vµ giao nép <color=gold>1 v¹n ng©n l­îng<color>
10020	Ng­¬i luyÖn tËp ch­a ®ñ! Kh«ng thÓ xuÊt s­!
10021	Ng­¬i kh«ng cã ®ñ <color=red>1 v¹n ng©n l­¬ng<color>! Kh«ng thÓ xuÊt s­!
10022	Huynh ®Ö ®· ch¸n cuéc sèng cña ®Ö tö tôc gia muèn trë l¹i ThiÕu L©m Tù sao? Tuy nhiªn ®· lµ mét m«n ph¸i lín th× ph¶i cã phĞp t¾c râ rµng. §©u thª nãi ®Õn lµ ®Õn, ®i lµ ®i dÔ dµng ®­îc! §Ó trë vÒ cÇn ph¶i cã <color=gold>1 v¹n ng©n l­îng<color>. Huynh ®Ö cã mang theo chø?
10023	Ng­¬i kh«ng cã ®ñ <color=red>1 v¹n ng©n l­îng<color>! Kh«ng thÓ quay trê l¹i m«n ph¸i!
10024	Ng­¬i ®· trê thµnh ®Ö tö ThiÕu L©m ph¸i! H·y còng nhau trau dåi vâ häc, cøu nh©n ®é thÕ, tiªu trõ c¸i ¸c cña b¶n th©n vµ toµn thiªn h¹!
10025	Ng­ìi ®· trë thµnh ®Ö tö ThiÕu L©m tôc gia! Dï sau nµy cã ®i trªn con ®­êng nµo th× h·y cè g¾ng ph¸t d­¬ng quan ®¹i ThiÕu L©m ph¸i chóng ta. §õng ®Ó cho ThiÕu L©m ph¶i hæ thÑn trong thiªn h¹.
10026	Cuéc sèng trÇn tôc kh«ng hîp víi s­ ®Ö ­? Haha! Dï sao còng chµo mõng ng­¬i trá l¹i ThiÕu L©m Tù. Huynh ®Ö ta l¹i cã thÓ cïng nhau trau dåi vâ häc vµ phËt ph¸p råi.
10027	§èi víi <color=metal>ThiÕu L©m Ph¸i<color> vâ nghÖ ®¹i kh¸i chia lµm ba lo¹i
10028	Thø nhÊt lµ ThiÕu L©m quyÒn ph¸p së h÷u <color=metal>Hµng Long BÊt Vò <color>, <color=metal>Long Tr¶o Hæ Tr¶o<color>, <color=metal>§¹t Ma §é Giang<color>
10029	Thø hai lµ ThiÕu L©m c«n ph¸p së h÷u <color=metal>Kim Cang Phôc Ma<color>, <color=metal>Hoµnh T¶o Lôc Hîp<color>, <color=metal>Hoµnh T¶o Thiªn Qu©n<color>
10030	Thø ba lµ ThiÕu L©m ®ao ph¸p së h÷u <color=metal>Ma Ha V« L­îng<color>, <color=metal>V« T­íng Tr¶m<color>
10031	Ngoµi c¸c chiªu thøc ®ã ra cßn cã <color=metal>BÊt §éng Minh V­¬ng<color>, <color=metal>La H¸n TrËn<color>, <color=metal>S­ Tö Hèng<color>, <color=metal>DŞch C©n Kinh<color>, <color=metal>Nh­ Lai Thiªn §iÖp<color>, <color=metal>§¹i Thõa Nh­ Lai Chó <color>
10032	Bang chñ D­¬ng Anh vâ nghÖ cao c­êng, gan d¹ h¬n ng­êi, kh«ng kĞm g× th©n nam tö!
10033	Bæn bang quy luËt uy nghiªm, ng­êi ®«ng thÕ m¹nh! Kh«ng ai trong thiªn h¹ d¸m coi khinh!
10034	Bæn bang võa chèng Kim võa kh¸ng Tèng! Huynh ®Ö ®Òu xuÊt th©n lµ d©n nghÌo, phiªu b¹t giang hå lµ v× kÕ sinh nhai! Ai lµm vua kh«ng cÇn quan t©m tíi.
10035	Thanh HiÓu S­ Th¸i cña quı ph¸i tinh th«ng phËt häc, vâ nghÖ cao c­êng, bæn bang ng­ìng mé ®· l©u!
10036	N÷ nh©n vèn ®· phiÒn, n÷ nh©n biÕt vâ c«ng l¹i cµng phiÒn h¬n! Ng­êi cña quı ph¸i chóng ta kh«ng d¸m trªu vµo!
10037	Ng­êi häc vâ cÇn ph¶i quang minh lçi l¹c! Ta ghĞt nhÊt bän ng­êi dïng ¸m khİ h¹ ®éc thñ ng­êi kh¸c!
10038	Tuy bæn bang kh«ng mª muéi tİn nhiÖm bÊt cø danh m«n chİnh ph¸i nµo nh­ng còng coi khinh bän h¹ ®éc ®ª hÌn!
10039	C«ng phu ThiÕu L©m th× cã g× hay ho? Hßa th­îng ®äc kinh giái míi lµ ®óng, häc ng­êi ta ®¸nh nhau ®Ó lµm gi?
