Level	Base	ReBorn1	ReBorn2	ReBorn3	ReBorn4	ReBorn5
1	4	8	12	16	20	24
2	23	46	69	92	115	138
3	52	104	156	208	260	312
4	90	180	270	360	450	540
5	138	276	414	552	690	828
6	195	390	585	780	975	1170
7	261	522	783	1044	1305	1566
8	338	676	1014	1352	1690	2028
9	423	846	1269	1692	2115	2538
10	519	1038	1557	2076	2595	3114
11	623	1246	1869	2492	3115	3738
12	747	1494	2241	2988	3735	4482
13	890	1780	2670	3560	4450	5340
14	1052	2104	3156	4208	5260	6312
15	1233	2466	3699	4932	6165	7398
16	1433	2866	4299	5732	7165	8598
17	1652	3304	4956	6608	8260	9912
18	1890	3780	5670	7560	9450	11340
19	2147	4294	6441	8588	10735	12882
20	2423	4846	7269	9692	12115	14538
21	2719	5438	8157	10876	13595	16314
22	3042	6084	9126	12168	15210	18252
23	3395	6790	10185	13580	16975	20370
24	3776	7552	11328	15104	18880	22656
25	4185	8370	12555	16740	20925	25110
26	4623	9246	13869	18492	23115	27738
27	5090	10180	15270	20360	25450	30540
28	5585	11170	16755	22340	27925	33510
29	6109	12218	18327	24436	30545	36654
30	6661	13322	19983	26644	33305	39966
31	7242	14484	21726	28968	36210	43452
32	7876	15752	23628	31504	39380	47256
33	8561	17122	25683	34244	42805	51366
34	9300	18600	27900	37200	46500	55800
35	10090	20180	30270	40360	50450	60540
36	10933	21866	32799	43732	54665	65598
37	11828	23656	35484	47312	59140	70968
38	12776	25552	38328	51104	63880	76656
39	13776	27552	41328	55104	68880	82656
40	44485	88970	133455	177940	222425	266910
41	47800	95600	143400	191200	239000	286800
42	51485	102970	154455	205940	257425	308910
43	55542	111084	166626	222168	277710	333252
44	59971	119942	179913	239884	299855	359826
45	64771	129542	194313	259084	323855	388626
46	69942	139884	209826	279768	349710	419652
47	75485	150970	226455	301940	377425	452910
48	81400	162800	244200	325600	407000	488400
49	87685	175370	263055	350740	438425	526110
50	94342	188684	283026	377368	471710	566052
51	101371	202742	304113	405484	506855	608226
52	109428	218856	328284	437712	547140	656568
53	118514	237028	355542	474056	592570	711084
54	128628	257256	385884	514512	643140	771768
55	139771	279542	419313	559084	698855	838626
56	151942	303884	455826	607768	759710	911652
57	165142	330284	495426	660568	825710	990852
58	179371	358742	538113	717484	896855	1076226
59	194628	389256	583884	778512	973140	1167768
60	210914	421828	632742	843656	1054570	1265484
61	228228	456456	684684	912912	1141140	1369368
62	248314	496628	744942	993256	1241570	1489884
63	271171	542342	813513	1084684	1355855	1627026
64	296800	593600	890400	1187200	1484000	1780800
65	325200	650400	975600	1300800	1626000	1951200
66	356371	712742	1069113	1425484	1781855	2138226
67	390314	780628	1170942	1561256	1951570	2341884
68	427028	854056	1281084	1708112	2135140	2562168
69	466514	933028	1399542	1866056	2332570	2799084
70	508771	1017542	1526313	2035084	2543855	3052626
71	553800	1107600	1661400	2215200	2769000	3322800
72	605742	1211484	1817226	2422968	3028710	3634452
73	664600	1329200	1993800	2658400	3323000	3987600
74	730371	1460742	2191113	2921484	3651855	4382226
75	803057	1606114	2409171	3212228	4015285	4818342
76	882657	1765314	2647971	3530628	4413285	5295942
77	969171	1938342	2907513	3876684	4845855	5815026
78	1062600	2125200	3187800	4250400	5313000	6375600
79	1162942	2325884	3488826	4651768	5814710	6977652
80	8891400	17782800	26674200	35565600	44457000	53348400
81	9690600	19381200	29071800	38762400	48453000	58143600
82	10600800	21201600	31802400	42403200	53004000	63604800
83	11622000	23244000	34866000	46488000	58110000	69732000
84	12754200	25508400	38262600	51016800	63771000	76525200
85	13997400	27994800	41992200	55989600	69987000	83984400
86	15351600	30703200	46054800	61406400	76758000	92109600
87	16816800	33633600	50450400	67267200	84084000	100900800
88	18393000	36786000	55179000	73572000	91965000	110358000
89	20080200	40160400	60240600	80320800	100401000	120481200
90	65635200	131270400	196905600	262540800	328176000	393811200
91	71362800	142725600	214088400	285451200	356814000	428176800
92	77799000	155598000	233397000	311196000	388995000	466794000
93	84943800	169887600	254831400	339775200	424719000	509662800
94	92797200	185594400	278391600	371188800	463986000	556783200
95	101359200	202718400	304077600	405436800	506796000	608155200
96	110629800	221259600	331889400	442519200	553149000	663778800
97	120609000	241218000	361827000	482436000	603045000	723654000
98	131296800	262593600	393890400	525187200	656484000	787780800
99	142693200	285386400	428079600	570772800	713466000	856159200
100	150000000	300000000	450000000	600000000	750000000	900000000
101	150000000	300000000	450000000	600000000	750000000	900000000
102	150000000	300000000	450000000	600000000	750000000	900000000
103	150000000	300000000	450000000	600000000	750000000	900000000
104	150000000	300000000	450000000	600000000	750000000	900000000
105	150000000	300000000	450000000	600000000	750000000	900000000
106	150000000	300000000	450000000	600000000	750000000	900000000
107	150000000	300000000	450000000	600000000	750000000	900000000
108	150000000	300000000	450000000	600000000	750000000	900000000
109	150000000	300000000	450000000	600000000	750000000	900000000
110	180000000	360000000	540000000	720000000	900000000	1080000000
111	180000000	360000000	540000000	720000000	900000000	1080000000
112	180000000	360000000	540000000	720000000	900000000	1080000000
113	180000000	360000000	540000000	720000000	900000000	1080000000
114	180000000	360000000	540000000	720000000	900000000	1080000000
115	180000000	360000000	540000000	720000000	900000000	1080000000
116	180000000	360000000	540000000	720000000	900000000	1080000000
117	180000000	360000000	540000000	720000000	900000000	1080000000
118	180000000	360000000	540000000	720000000	900000000	1080000000
119	180000000	360000000	540000000	720000000	900000000	1080000000
120	300000000	600000000	900000000	1200000000	1500000000	1800000000
121	300000000	600000000	900000000	1200000000	1500000000	1800000000
122	300000000	600000000	900000000	1200000000	1500000000	1800000000
123	300000000	600000000	900000000	1200000000	1500000000	1800000000
124	300000000	600000000	900000000	1200000000	1500000000	1800000000
125	500000000	1000000000	1500000000	2000000000	2500000000	3000000000
126	500000000	1000000000	1500000000	2000000000	2500000000	3000000000
127	500000000	1000000000	1500000000	2000000000	2500000000	3000000000
128	500000000	1000000000	1500000000	2000000000	2500000000	3000000000
129	500000000	1000000000	1500000000	2000000000	2500000000	3000000000
130	800000000	1600000000	2400000000	3200000000	4000000000	4800000000
131	800000000	1600000000	2400000000	3200000000	4000000000	4800000000
132	800000000	1600000000	2400000000	3200000000	4000000000	4800000000
133	800000000	1600000000	2400000000	3200000000	4000000000	4800000000
134	800000000	1600000000	2400000000	3200000000	4000000000	4800000000
135	1200000000	2400000000	3600000000	4800000000	6000000000	7200000000
136	1200000000	2400000000	3600000000	4800000000	6000000000	7200000000
137	1200000000	2400000000	3600000000	4800000000	6000000000	7200000000
138	1200000000	2400000000	3600000000	4800000000	6000000000	7200000000
139	1200000000	2400000000	3600000000	4800000000	6000000000	7200000000
140	1800000000	3600000000	5400000000	7200000000	9000000000	10800000000
141	1800000000	3600000000	5400000000	7200000000	9000000000	10800000000
142	1800000000	3600000000	5400000000	7200000000	9000000000	10800000000
143	1800000000	3600000000	5400000000	7200000000	9000000000	10800000000
144	1800000000	3600000000	5400000000	7200000000	9000000000	10800000000
145	2000000000	4000000000	6000000000	8000000000	10000000000	12000000000
146	2000000000	4000000000	6000000000	8000000000	10000000000	12000000000
147	2000000000	4000000000	6000000000	8000000000	10000000000	12000000000
148	2000000000	4000000000	6000000000	8000000000	10000000000	12000000000
149	2000000000	4000000000	6000000000	8000000000	10000000000	12000000000
150	2000000000	4000000000	6000000000	8000000000	10000000000	12000000000
151	2000000000	4000000000	6000000000	8000000000	10000000000	12000000000
152	2000000000	4000000000	6000000000	8000000000	10000000000	12000000000
153	2000000000	4000000000	6000000000	8000000000	10000000000	12000000000
154	2000000000	4000000000	6000000000	8000000000	10000000000	12000000000
155	2000000000	4000000000	6000000000	8000000000	10000000000	12000000000
156	2000000000	4000000000	6000000000	8000000000	10000000000	12000000000
157	2000000000	4000000000	6000000000	8000000000	10000000000	12000000000
158	2000000000	4000000000	6000000000	8000000000	10000000000	12000000000
159	2000000000	4000000000	6000000000	8000000000	10000000000	12000000000
160	2000000000	4000000000	6000000000	8000000000	10000000000	12000000000
161	2000000000	4000000000	6000000000	8000000000	10000000000	12000000000
162	2000000000	4000000000	6000000000	8000000000	10000000000	12000000000
163	2000000000	4000000000	6000000000	8000000000	10000000000	12000000000
164	2000000000	4000000000	6000000000	8000000000	10000000000	12000000000
165	2000000000	4000000000	6000000000	8000000000	10000000000	12000000000
166	2000000000	4000000000	6000000000	8000000000	10000000000	12000000000
167	2000000000	4000000000	6000000000	8000000000	10000000000	12000000000
168	2000000000	4000000000	6000000000	8000000000	10000000000	12000000000
169	2000000000	4000000000	6000000000	8000000000	10000000000	12000000000
170	2000000000	4000000000	6000000000	8000000000	10000000000	12000000000
171	2000000000	4000000000	6000000000	8000000000	10000000000	12000000000
172	2000000000	4000000000	6000000000	8000000000	10000000000	12000000000
173	2000000000	4000000000	6000000000	8000000000	10000000000	12000000000
174	2000000000	4000000000	6000000000	8000000000	10000000000	12000000000
175	2000000000	4000000000	6000000000	8000000000	10000000000	12000000000
176	2000000000	4000000000	6000000000	8000000000	10000000000	12000000000
177	2000000000	4000000000	6000000000	8000000000	10000000000	12000000000
178	2000000000	4000000000	6000000000	8000000000	10000000000	12000000000
179	2000000000	4000000000	6000000000	8000000000	10000000000	12000000000
180	2000000000	4000000000	6000000000	8000000000	10000000000	12000000000
181	2000000000	4000000000	6000000000	8000000000	10000000000	12000000000
182	2000000000	4000000000	6000000000	8000000000	10000000000	12000000000
183	2000000000	4000000000	6000000000	8000000000	10000000000	12000000000
184	2000000000	4000000000	6000000000	8000000000	10000000000	12000000000
185	2000000000	4000000000	6000000000	8000000000	10000000000	12000000000
186	2000000000	4000000000	6000000000	8000000000	10000000000	12000000000
187	2000000000	4000000000	6000000000	8000000000	10000000000	12000000000
188	2000000000	4000000000	6000000000	8000000000	10000000000	12000000000
189	2000000000	4000000000	6000000000	8000000000	10000000000	12000000000
190	2000000000	4000000000	6000000000	8000000000	10000000000	12000000000
191	2000000000	4000000000	6000000000	8000000000	10000000000	12000000000
192	2000000000	4000000000	6000000000	8000000000	10000000000	12000000000
193	2000000000	4000000000	6000000000	8000000000	10000000000	12000000000
194	2000000000	4000000000	6000000000	8000000000	10000000000	12000000000
195	2000000000	4000000000	6000000000	8000000000	10000000000	12000000000
196	2000000000	4000000000	6000000000	8000000000	10000000000	12000000000
197	2000000000	4000000000	6000000000	8000000000	10000000000	12000000000
198	2000000000	4000000000	6000000000	8000000000	10000000000	12000000000
199	2000000000	4000000000	6000000000	8000000000	10000000000	12000000000
200	2000000000	4000000000	6000000000	8000000000	10000000000	12000000000
