MapID	RegionId	CellX	CellY	ScriptFile	IsLoad
242	106	15	24	\script\maps\trap\242\cuadongtaybac.lua	1
242	106	14	25	\script\maps\trap\242\cuadongtaybac.lua	1
242	106	15	25	\script\maps\trap\242\cuadongtaybac.lua	1
242	106	14	26	\script\maps\trap\242\cuadongtaybac.lua	1
242	106	13	27	\script\maps\trap\242\cuadongtaybac.lua	1
242	106	14	27	\script\maps\trap\242\cuadongtaybac.lua	1
242	106	12	28	\script\maps\trap\242\cuadongtaybac.lua	1
242	106	13	28	\script\maps\trap\242\cuadongtaybac.lua	1
242	107	0	23	\script\maps\trap\242\cuadongtaybac.lua	1
242	107	0	24	\script\maps\trap\242\cuadongtaybac.lua	1
242	158	11	12	\script\maps\trap\242\cuadongdongbac.lua	1
242	158	11	13	\script\maps\trap\242\cuadongdongbac.lua	1
242	158	12	13	\script\maps\trap\242\cuadongdongbac.lua	1
242	158	12	14	\script\maps\trap\242\cuadongdongbac.lua	1
242	158	13	14	\script\maps\trap\242\cuadongdongbac.lua	1
242	158	13	15	\script\maps\trap\242\cuadongdongbac.lua	1
242	158	14	15	\script\maps\trap\242\cuadongdongbac.lua	1
242	158	14	16	\script\maps\trap\242\cuadongdongbac.lua	1
242	158	15	16	\script\maps\trap\242\cuadongdongbac.lua	1
242	314	3	27	\script\maps\trap\242\congtay.lua	1
242	314	4	27	\script\maps\trap\242\congtay.lua	1
242	314	3	28	\script\maps\trap\242\congtay.lua	1
242	314	3	29	\script\maps\trap\242\congtay.lua	1
242	314	3	30	\script\maps\trap\242\congtay.lua	1
242	314	3	31	\script\maps\trap\242\congtay.lua	1
242	347	2	0	\script\maps\trap\242\congtay.lua	1
242	347	3	0	\script\maps\trap\242\congtay.lua	1
242	347	2	1	\script\maps\trap\242\congtay.lua	1
242	347	2	2	\script\maps\trap\242\congtay.lua	1
242	347	2	3	\script\maps\trap\242\congtay.lua	1
242	347	1	4	\script\maps\trap\242\congtay.lua	1
242	347	2	4	\script\maps\trap\242\congtay.lua	1
242	347	1	5	\script\maps\trap\242\congtay.lua	1
242	347	1	6	\script\maps\trap\242\congtay.lua	1
242	347	1	7	\script\maps\trap\242\congtay.lua	1
242	347	1	8	\script\maps\trap\242\congtay.lua	1
242	347	0	9	\script\maps\trap\242\congtay.lua	1
242	347	1	9	\script\maps\trap\242\congtay.lua	1
242	347	0	10	\script\maps\trap\242\congtay.lua	1
242	347	0	11	\script\maps\trap\242\congtay.lua	1
242	347	0	12	\script\maps\trap\242\congtay.lua	1
242	347	0	13	\script\maps\trap\242\congtay.lua	1
242	347	0	14	\script\maps\trap\242\congtay.lua	1
242	347	0	15	\script\maps\trap\242\congtay.lua	1
242	350	12	9	\script\maps\trap\242\congbac.lua	1
242	350	13	9	\script\maps\trap\242\congbac.lua	1
242	350	14	9	\script\maps\trap\242\congbac.lua	1
242	350	15	9	\script\maps\trap\242\congbac.lua	1
242	350	15	10	\script\maps\trap\242\congbac.lua	1
242	351	0	10	\script\maps\trap\242\congbac.lua	1
242	351	1	10	\script\maps\trap\242\congbac.lua	1
242	351	1	11	\script\maps\trap\242\congbac.lua	1
242	351	2	11	\script\maps\trap\242\congbac.lua	1
242	351	2	12	\script\maps\trap\242\congbac.lua	1
242	351	3	12	\script\maps\trap\242\congbac.lua	1
242	351	3	13	\script\maps\trap\242\congbac.lua	1
242	351	4	13	\script\maps\trap\242\congbac.lua	1
242	351	4	14	\script\maps\trap\242\congbac.lua	1
242	351	4	15	\script\maps\trap\242\congbac.lua	1
242	351	5	15	\script\maps\trap\242\congbac.lua	1
242	380	1	26	\script\maps\trap\242\congnam.lua	1
242	380	2	26	\script\maps\trap\242\congnam.lua	1
242	380	2	27	\script\maps\trap\242\congnam.lua	1
242	380	3	27	\script\maps\trap\242\congnam.lua	1
242	380	3	28	\script\maps\trap\242\congnam.lua	1
242	380	4	28	\script\maps\trap\242\congnam.lua	1
242	380	4	29	\script\maps\trap\242\congnam.lua	1
242	380	5	29	\script\maps\trap\242\congnam.lua	1
242	380	5	30	\script\maps\trap\242\congnam.lua	1
242	380	5	31	\script\maps\trap\242\congnam.lua	1
242	413	5	0	\script\maps\trap\242\congnam.lua	1
242	417	8	0	\script\maps\trap\242\congdong.lua	1
242	417	8	1	\script\maps\trap\242\congdong.lua	1
242	417	8	2	\script\maps\trap\242\congdong.lua	1
242	417	7	3	\script\maps\trap\242\congdong.lua	1
242	417	8	3	\script\maps\trap\242\congdong.lua	1
242	417	6	4	\script\maps\trap\242\congdong.lua	1
242	417	7	4	\script\maps\trap\242\congdong.lua	1
242	417	5	5	\script\maps\trap\242\congdong.lua	1
242	417	6	5	\script\maps\trap\242\congdong.lua	1
242	417	4	6	\script\maps\trap\242\congdong.lua	1
242	417	5	6	\script\maps\trap\242\congdong.lua	1
242	417	4	7	\script\maps\trap\242\congdong.lua	1
242	417	3	8	\script\maps\trap\242\congdong.lua	1
242	417	4	8	\script\maps\trap\242\congdong.lua	1
242	417	3	9	\script\maps\trap\242\congdong.lua	1
242	417	2	10	\script\maps\trap\242\congdong.lua	1
242	417	3	10	\script\maps\trap\242\congdong.lua	1
242	417	2	11	\script\maps\trap\242\congdong.lua	1
242	417	1	12	\script\maps\trap\242\congdong.lua	1
242	417	2	12	\script\maps\trap\242\congdong.lua	1
242	417	1	13	\script\maps\trap\242\congdong.lua	1
242	422	10	27	\script\maps\trap\242\cuadongdongnam.lua	1
242	422	11	27	\script\maps\trap\242\cuadongdongnam.lua	1
242	422	9	28	\script\maps\trap\242\cuadongdongnam.lua	1
242	422	10	28	\script\maps\trap\242\cuadongdongnam.lua	1
242	422	8	29	\script\maps\trap\242\cuadongdongnam.lua	1
242	422	9	29	\script\maps\trap\242\cuadongdongnam.lua	1
242	422	7	30	\script\maps\trap\242\cuadongdongnam.lua	1
242	422	8	30	\script\maps\trap\242\cuadongdongnam.lua	1
242	422	7	31	\script\maps\trap\242\cuadongdongnam.lua	1
242	468	0	28	\script\maps\trap\242\cuadongtaynam.lua	1
242	468	1	28	\script\maps\trap\242\cuadongtaynam.lua	1
242	468	1	29	\script\maps\trap\242\cuadongtaynam.lua	1
242	468	2	29	\script\maps\trap\242\cuadongtaynam.lua	1
242	468	2	30	\script\maps\trap\242\cuadongtaynam.lua	1
242	468	3	30	\script\maps\trap\242\cuadongtaynam.lua	1
242	468	3	31	\script\maps\trap\242\cuadongtaynam.lua	1
242	501	3	0	\script\maps\trap\242\cuadongtaynam.lua	1
242	501	4	0	\script\maps\trap\242\cuadongtaynam.lua	1
242	501	4	1	\script\maps\trap\242\cuadongtaynam.lua	1
