NpcID	MapID	PosX	PosY	ScriptFile	NpcName	Level	IsLoad
145	166	51040	99296		Song phong	60	1
145	166	48608	100256		Song phong	60	1
155	166	48992	99584		H綾 C﹏	60	1
145	166	48960	99744		Song phong	60	1
156	166	48704	99872		秐h C玭	60	1
145	166	49632	99712		Song phong	60	1
155	166	49280	100000		H綾 C﹏	60	1
156	166	49984	100000		秐h C玭	60	1
145	166	49664	99424		Song phong	60	1
156	166	49824	99680		秐h C玭	60	1
155	166	50272	99904		H綾 C﹏	60	1
155	166	50528	99808		H綾 C﹏	60	1
155	166	50592	99680		H綾 C﹏	60	1
155	166	50304	100096		H綾 C﹏	60	1
155	166	50688	99552		H綾 C﹏	60	1
156	166	50816	99840		秐h C玭	60	1
155	166	51520	100000		H綾 C﹏	60	1
145	166	51328	100256		Song phong	60	1
156	166	51392	99776		秐h C玭	60	1
156	166	51968	99680		秐h C玭	60	1
156	166	52032	99936		秐h C玭	60	1
156	166	52064	99776		秐h C玭	60	1
155	166	48576	100960		H綾 C﹏	60	1
145	166	48256	100576		Song phong	60	1
145	166	48736	101088		Song phong	60	1
155	166	49088	100480		H綾 C﹏	60	1
145	166	49120	100768		Song phong	60	1
155	166	49376	100960		H綾 C﹏	60	1
156	166	49504	101312		秐h C玭	60	1
145	166	49824	101120		Song phong	60	1
156	166	50432	100512		秐h C玭	60	1
155	166	50368	100352		H綾 C﹏	60	1
155	166	51072	100800		H綾 C﹏	60	1
145	166	50848	100896		Song phong	60	1
156	166	50720	101120		秐h C玭	60	1
145	166	50976	100704		Song phong	60	1
145	166	51616	100352		Song phong	60	1
156	166	51648	100992		秐h C玭	60	1
145	166	51616	100672		Song phong	60	1
156	166	51968	100896		秐h C玭	60	1
156	166	52480	101312		秐h C玭	60	1
156	166	52288	101088		秐h C玭	60	1
155	166	52576	101216		H綾 C﹏	60	1
156	166	52960	101088		秐h C玭	60	1
155	166	52896	100800		H綾 C﹏	60	1
155	166	52736	101088		H綾 C﹏	60	1
156	166	53152	100928		秐h C玭	60	1
156	166	53376	101120		秐h C玭	60	1
156	166	53376	101344		秐h C玭	60	1
145	166	53568	101312		Song phong	60	1
155	166	48096	102112		H綾 C﹏	60	1
155	166	47872	101856		H綾 C﹏	60	1
145	166	47904	102112		Song phong	60	1
155	166	47808	101984		H綾 C﹏	60	1
145	166	48608	101920		Song phong	60	1
155	166	48768	101600		H綾 C﹏	60	1
156	166	48768	102208		秐h C玭	60	1
156	166	49056	101440		秐h C玭	60	1
156	166	49408	102240		秐h C玭	60	1
155	166	49248	101440		H綾 C﹏	60	1
156	166	49600	102368		秐h C玭	60	1
145	166	49984	101888		Song phong	60	1
145	166	49664	101984		Song phong	60	1
156	166	50656	101408		秐h C玭	60	1
145	166	50469	102363		Song phong	60	1
155	166	50723	101774		H綾 C﹏	60	1
155	166	50815	101688		H綾 C﹏	60	1
155	166	50747	102336		H綾 C﹏	60	1
155	166	51039	102188		H綾 C﹏	60	1
155	166	50881	102160		H綾 C﹏	60	1
156	166	51296	101376		秐h C玭	60	1
